Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BA;Contrôle et exploitation aériens;XC;614.0;Transports aériens, surveillance et certification;02;Surveillance et certification;;;52.0;5;6002255.0;7724255.0;0.0;0.0;Transition écologique et cohésion des territoires
BA;Publications officielles et information administrative;XJ;623.0;Édition et diffusion;02;Information administrative et vie publique;;;51.0;5;1550000.0;850000.0;0.0;0.0;Services du Premier ministre
BG;Action extérieure de l'État;AA;151.0;Français à l'étranger et affaires consulaires;01;Offre d'un service public de qualité aux Français à l'étranger;;;31.0;3;20526747.0;20126747.0;0.0;0.0;Europe et affaires étrangères
BG;Action extérieure de l'État;AA;151.0;Français à l'étranger et affaires consulaires;03;Instruction des demandes de visa;;;21.0;2;54535602.0;54535602.0;0.0;0.0;Europe et affaires étrangères
BG;Administration générale et territoriale de l'État;AB;354.0;Administration territoriale de l'État;05;Fonctionnement courant de l'administration territoriale;;;31.0;3;219425939.0;210621548.0;12140000.0;12140000.0;Intérieur et outre-mer
BG;Agriculture, alimentation, forêt et affaires rurales;AC;206.0;Sécurité et qualité sanitaires de l'alimentation;04;Actions transversales;;;31.0;3;11893144.0;11893144.0;0.0;0.0;Agriculture et souveraineté alimentaire
BG;Aide publique au développement;AD;110.0;Aide économique et financière au développement;03;Traitement de la dette des pays pauvres;;;73.0;7;0.0;113542088.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Aide publique au développement;AD;209.0;Solidarité à l'égard des pays en développement;05;Coopération multilatérale;;;31.0;3;550000.0;6465602.0;0.0;0.0;Europe et affaires étrangères
BG;Aide publique au développement;AD;209.0;Solidarité à l'égard des pays en développement;08;"Dépenses de personnels concourant au programme ""Solidarité à l'égard des pays en développement""";;;22.0;2;29269058.0;29269058.0;0.0;0.0;Europe et affaires étrangères
BG;Cohésion des territoires;VA;135.0;Urbanisme, territoires et amélioration de l'habitat;03;Lutte contre l'habitat indigne;;;62.0;6;2750000.0;2750000.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Cohésion des territoires;VA;147.0;Politique de la ville;02;Revitalisation économique et emploi;;;32.0;3;34422530.0;34422530.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Cohésion des territoires;VA;162.0;Interventions territoriales de l'État;02;Eau - Agriculture en Bretagne;;;32.0;3;280000.0;280000.0;0.0;0.0;Services du Premier ministre
BG;Cohésion des territoires;VA;162.0;Interventions territoriales de l'État;08;Volet territorialisé du plan national d'action chlordécone;;;31.0;3;784000.0;912200.0;0.0;0.0;Services du Premier ministre
BG;Conseil et contrôle de l'État;CA;126.0;Conseil économique, social et environnemental;05;Fonctions supports à l'institution;;;31.0;3;2596167.0;2596167.0;1530000.0;1530000.0;Services du Premier ministre
BG;Conseil et contrôle de l'État;CA;164.0;Cour des comptes et autres juridictions financières;23;Contrôle des gestions publiques;;;22.0;2;24214939.0;24214939.0;0.0;0.0;Services du Premier ministre
BG;Conseil et contrôle de l'État;CA;165.0;Conseil d'État et autres juridictions administratives;02;Fonction juridictionnelle : Cours administratives d'appel;;;23.0;2;420937.0;420937.0;0.0;0.0;Services du Premier ministre
BG;Culture;CB;175.0;Patrimoines;01;Monuments Historiques et patrimoine monumental;;;31.0;3;29393966.0;29345725.0;0.0;0.0;Culture
BG;Culture;CB;175.0;Patrimoines;02;Architecture et sites patrimoniaux;;;32.0;3;19016023.0;19016023.0;0.0;0.0;Culture
