Annee;Academie.origine;Academie.recrutement;Groupe.CNU;MCF
2019;AIX-MARSEILLE;AIX-MARSEILLE;Droit;
2019;AMIENS;AIX-MARSEILLE;Droit;
2019;BESANCON;AIX-MARSEILLE;Droit;
2019;BORDEAUX;AIX-MARSEILLE;Droit;
2019;CAEN;AIX-MARSEILLE;Droit;
2019;CLERMONT-FERRAND;AIX-MARSEILLE;Droit;
2019;CORSE;AIX-MARSEILLE;Droit;
2019;CRETEIL;AIX-MARSEILLE;Droit;1
2019;DIJON;AIX-MARSEILLE;Droit;
2019;GRENOBLE;AIX-MARSEILLE;Droit;
2019;GUADELOUPE;AIX-MARSEILLE;Droit;
2019;LILLE;AIX-MARSEILLE;Droit;
2019;LYON;AIX-MARSEILLE;Droit;1
2019;MONTPELLIER;AIX-MARSEILLE;Droit;
2019;NANCY-METZ;AIX-MARSEILLE;Droit;1
2019;NANTES;AIX-MARSEILLE;Droit;
2019;NICE;AIX-MARSEILLE;Droit;1
2019;ORLEANS-TOURS;AIX-MARSEILLE;Droit;
2019;PARIS;AIX-MARSEILLE;Droit;
2019;POITIERS;AIX-MARSEILLE;Droit;
2019;REIMS;AIX-MARSEILLE;Droit;
2019;RENNES;AIX-MARSEILLE;Droit;
2019;ROUEN;AIX-MARSEILLE;Droit;
2019;STRASBOURG;AIX-MARSEILLE;Droit;
2019;TOULOUSE;AIX-MARSEILLE;Droit;
2019;VERSAILLES;AIX-MARSEILLE;Droit;
2019;AIX-MARSEILLE;BESANCON;Droit;
2019;AMIENS;BESANCON;Droit;
2019;BESANCON;BESANCON;Droit;
2019;BORDEAUX;BESANCON;Droit;
2019;CAEN;BESANCON;Droit;
2019;CLERMONT-FERRAND;BESANCON;Droit;
2019;CORSE;BESANCON;Droit;
2019;CRETEIL;BESANCON;Droit;
2019;DIJON;BESANCON;Droit;
2019;GRENOBLE;BESANCON;Droit;
2019;GUADELOUPE;BESANCON;Droit;
2019;LILLE;BESANCON;Droit;
2019;LYON;BESANCON;Droit;
2019;MONTPELLIER;BESANCON;Droit;
2019;NANCY-METZ;BESANCON;Droit;
2019;NANTES;BESANCON;Droit;
2019;NICE;BESANCON;Droit;
2019;ORLEANS-TOURS;BESANCON;Droit;
2019;PARIS;BESANCON;Droit;
2019;POITIERS;BESANCON;Droit;
2019;REIMS;BESANCON;Droit;
2019;RENNES;BESANCON;Droit;
2019;ROUEN;BESANCON;Droit;
2019;STRASBOURG;BESANCON;Droit;
2019;TOULOUSE;BESANCON;Droit;
2019;VERSAILLES;BESANCON;Droit;1
2019;AIX-MARSEILLE;BORDEAUX;Droit;
2019;AMIENS;BORDEAUX;Droit;
2019;BESANCON;BORDEAUX;Droit;
2019;BORDEAUX;BORDEAUX;Droit;
2019;CAEN;BORDEAUX;Droit;
2019;CLERMONT-FERRAND;BORDEAUX;Droit;
2019;CORSE;BORDEAUX;Droit;
2019;CRETEIL;BORDEAUX;Droit;
2019;DIJON;BORDEAUX;Droit;
2019;GRENOBLE;BORDEAUX;Droit;
2019;GUADELOUPE;BORDEAUX;Droit;
2019;LILLE;BORDEAUX;Droit;
2019;LYON;BORDEAUX;Droit;
2019;MONTPELLIER;BORDEAUX;Droit;
2019;NANCY-METZ;BORDEAUX;Droit;
2019;NANTES;BORDEAUX;Droit;
2019;NICE;BORDEAUX;Droit;
2019;ORLEANS-TOURS;BORDEAUX;Droit;
2019;PARIS;BORDEAUX;Droit;
2019;POITIERS;BORDEAUX;Droit;1
2019;REIMS;BORDEAUX;Droit;
2019;RENNES;BORDEAUX;Droit;
2019;ROUEN;BORDEAUX;Droit;
2019;STRASBOURG;BORDEAUX;Droit;
2019;TOULOUSE;BORDEAUX;Droit;1
2019;VERSAILLES;BORDEAUX;Droit;
2019;AIX-MARSEILLE;GRENOBLE;Droit;
2019;AMIENS;GRENOBLE;Droit;
2019;BESANCON;GRENOBLE;Droit;
2019;BORDEAUX;GRENOBLE;Droit;
2019;CAEN;GRENOBLE;Droit;
2019;CLERMONT-FERRAND;GRENOBLE;Droit;
2019;CORSE;GRENOBLE;Droit;
2019;CRETEIL;GRENOBLE;Droit;
2019;DIJON;GRENOBLE;Droit;
2019;GRENOBLE;GRENOBLE;Droit;
2019;GUADELOUPE;GRENOBLE;Droit;
2019;LILLE;GRENOBLE;Droit;
2019;LYON;GRENOBLE;Droit;
2019;MONTPELLIER;GRENOBLE;Droit;
2019;NANCY-METZ;GRENOBLE;Droit;
2019;NANTES;GRENOBLE;Droit;
2019;NICE;GRENOBLE;Droit;
2019;ORLEANS-TOURS;GRENOBLE;Droit;
2019;PARIS;GRENOBLE;Droit;
2019;POITIERS;GRENOBLE;Droit;
2019;REIMS;GRENOBLE;Droit;
2019;RENNES;GRENOBLE;Droit;
2019;ROUEN;GRENOBLE;Droit;
2019;STRASBOURG;GRENOBLE;Droit;
2019;TOULOUSE;GRENOBLE;Droit;1
2019;VERSAILLES;GRENOBLE;Droit;
2019;AIX-MARSEILLE;LILLE;Droit;
2019;AMIENS;LILLE;Droit;
2019;BESANCON;LILLE;Droit;
2019;BORDEAUX;LILLE;Droit;
2019;CAEN;LILLE;Droit;
2019;CLERMONT-FERRAND;LILLE;Droit;
2019;CORSE;LILLE;Droit;1
2019;CRETEIL;LILLE;Droit;1
2019;DIJON;LILLE;Droit;
2019;GRENOBLE;LILLE;Droit;
2019;GUADELOUPE;LILLE;Droit;1
2019;LILLE;LILLE;Droit;1
2019;LYON;LILLE;Droit;
2019;MONTPELLIER;LILLE;Droit;
2019;NANCY-METZ;LILLE;Droit;
2019;NANTES;LILLE;Droit;
2019;NICE;LILLE;Droit;
2019;ORLEANS-TOURS;LILLE;Droit;
2019;PARIS;LILLE;Droit;
2019;POITIERS;LILLE;Droit;
2019;REIMS;LILLE;Droit;
2019;RENNES;LILLE;Droit;
2019;ROUEN;LILLE;Droit;
2019;STRASBOURG;LILLE;Droit;
2019;TOULOUSE;LILLE;Droit;
2019;VERSAILLES;LILLE;Droit;
2019;AIX-MARSEILLE;LYON;Droit;1
2019;AMIENS;LYON;Droit;
2019;BESANCON;LYON;Droit;
2019;BORDEAUX;LYON;Droit;
2019;CAEN;LYON;Droit;
2019;CLERMONT-FERRAND;LYON;Droit;
2019;CORSE;LYON;Droit;1
2019;CRETEIL;LYON;Droit;
2019;DIJON;LYON;Droit;
2019;GRENOBLE;LYON;Droit;
2019;GUADELOUPE;LYON;Droit;
2019;LILLE;LYON;Droit;
2019;LYON;LYON;Droit;
2019;MONTPELLIER;LYON;Droit;
2019;NANCY-METZ;LYON;Droit;
2019;NANTES;LYON;Droit;
2019;NICE;LYON;Droit;1
2019;ORLEANS-TOURS;LYON;Droit;
2019;PARIS;LYON;Droit;
2019;POITIERS;LYON;Droit;
2019;REIMS;LYON;Droit;
2019;RENNES;LYON;Droit;
2019;ROUEN;LYON;Droit;
2019;STRASBOURG;LYON;Droit;
2019;TOULOUSE;LYON;Droit;1
2019;VERSAILLES;LYON;Droit;
2019;AIX-MARSEILLE;MONTPELLIER;Droit;
2019;AMIENS;MONTPELLIER;Droit;
2019;BESANCON;MONTPELLIER;Droit;
2019;BORDEAUX;MONTPELLIER;Droit;
2019;CAEN;MONTPELLIER;Droit;
2019;CLERMONT-FERRAND;MONTPELLIER;Droit;
2019;CORSE;MONTPELLIER;Droit;
2019;CRETEIL;MONTPELLIER;Droit;
2019;DIJON;MONTPELLIER;Droit;
2019;GRENOBLE;MONTPELLIER;Droit;2
2019;GUADELOUPE;MONTPELLIER;Droit;
2019;LILLE;MONTPELLIER;Droit;
2019;LYON;MONTPELLIER;Droit;
2019;MONTPELLIER;MONTPELLIER;Droit;
2019;NANCY-METZ;MONTPELLIER;Droit;
2019;NANTES;MONTPELLIER;Droit;
2019;NICE;MONTPELLIER;Droit;
2019;ORLEANS-TOURS;MONTPELLIER;Droit;
2019;PARIS;MONTPELLIER;Droit;
2019;POITIERS;MONTPELLIER;Droit;
2019;REIMS;MONTPELLIER;Droit;
2019;RENNES;MONTPELLIER;Droit;
2019;ROUEN;MONTPELLIER;Droit;
2019;STRASBOURG;MONTPELLIER;Droit;
2019;TOULOUSE;MONTPELLIER;Droit;1
2019;VERSAILLES;MONTPELLIER;Droit;
2019;AIX-MARSEILLE;NANCY-METZ;Droit;
2019;AMIENS;NANCY-METZ;Droit;
2019;BESANCON;NANCY-METZ;Droit;
2019;BORDEAUX;NANCY-METZ;Droit;
2019;CAEN;NANCY-METZ;Droit;
2019;CLERMONT-FERRAND;NANCY-METZ;Droit;
2019;CORSE;NANCY-METZ;Droit;
2019;CRETEIL;NANCY-METZ;Droit;
2019;DIJON;NANCY-METZ;Droit;
2019;GRENOBLE;NANCY-METZ;Droit;
2019;GUADELOUPE;NANCY-METZ;Droit;
2019;LILLE;NANCY-METZ;Droit;
2019;LYON;NANCY-METZ;Droit;
2019;MONTPELLIER;NANCY-METZ;Droit;
2019;NANCY-METZ;NANCY-METZ;Droit;1
2019;NANTES;NANCY-METZ;Droit;
2019;NICE;NANCY-METZ;Droit;
2019;ORLEANS-TOURS;NANCY-METZ;Droit;
2019;PARIS;NANCY-METZ;Droit;
2019;POITIERS;NANCY-METZ;Droit;
2019;REIMS;NANCY-METZ;Droit;
2019;RENNES;NANCY-METZ;Droit;
2019;ROUEN;NANCY-METZ;Droit;
2019;STRASBOURG;NANCY-METZ;Droit;
2019;TOULOUSE;NANCY-METZ;Droit;
2019;VERSAILLES;NANCY-METZ;Droit;
2019;AIX-MARSEILLE;NANTES;Droit;
2019;AMIENS;NANTES;Droit;
2019;BESANCON;NANTES;Droit;
2019;BORDEAUX;NANTES;Droit;
2019;CAEN;NANTES;Droit;
2019;CLERMONT-FERRAND;NANTES;Droit;
2019;CORSE;NANTES;Droit;
2019;CRETEIL;NANTES;Droit;
2019;DIJON;NANTES;Droit;
2019;GRENOBLE;NANTES;Droit;
2019;GUADELOUPE;NANTES;Droit;
2019;LILLE;NANTES;Droit;1
2019;LYON;NANTES;Droit;
2019;MONTPELLIER;NANTES;Droit;
2019;NANCY-METZ;NANTES;Droit;
2019;NANTES;NANTES;Droit;
2019;NICE;NANTES;Droit;
2019;ORLEANS-TOURS;NANTES;Droit;
2019;PARIS;NANTES;Droit;
2019;POITIERS;NANTES;Droit;1
2019;REIMS;NANTES;Droit;
2019;RENNES;NANTES;Droit;
2019;ROUEN;NANTES;Droit;
2019;STRASBOURG;NANTES;Droit;
2019;TOULOUSE;NANTES;Droit;
2019;VERSAILLES;NANTES;Droit;
2019;AIX-MARSEILLE;NICE;Droit;1
2019;AMIENS;NICE;Droit;
2019;BESANCON;NICE;Droit;
2019;BORDEAUX;NICE;Droit;
2019;CAEN;NICE;Droit;
2019;CLERMONT-FERRAND;NICE;Droit;
2019;CORSE;NICE;Droit;
2019;CRETEIL;NICE;Droit;
2019;DIJON;NICE;Droit;
2019;GRENOBLE;NICE;Droit;
2019;GUADELOUPE;NICE;Droit;
2019;LILLE;NICE;Droit;
2019;LYON;NICE;Droit;
2019;MONTPELLIER;NICE;Droit;
2019;NANCY-METZ;NICE;Droit;
2019;NANTES;NICE;Droit;
2019;NICE;NICE;Droit;
2019;ORLEANS-TOURS;NICE;Droit;
2019;PARIS;NICE;Droit;
2019;POITIERS;NICE;Droit;
2019;REIMS;NICE;Droit;
2019;RENNES;NICE;Droit;
2019;ROUEN;NICE;Droit;
2019;STRASBOURG;NICE;Droit;
2019;TOULOUSE;NICE;Droit;
2019;VERSAILLES;NICE;Droit;
2019;AIX-MARSEILLE;PARIS;Droit;
2019;AMIENS;PARIS;Droit;
2019;BESANCON;PARIS;Droit;1
2019;BORDEAUX;PARIS;Droit;
2019;CAEN;PARIS;Droit;
2019;CLERMONT-FERRAND;PARIS;Droit;
2019;CORSE;PARIS;Droit;
2019;CRETEIL;PARIS;Droit;1
2019;DIJON;PARIS;Droit;
2019;GRENOBLE;PARIS;Droit;
2019;GUADELOUPE;PARIS;Droit;
2019;LILLE;PARIS;Droit;1
2019;LYON;PARIS;Droit;
2019;MONTPELLIER;PARIS;Droit;1
2019;NANCY-METZ;PARIS;Droit;
2019;NANTES;PARIS;Droit;
2019;NICE;PARIS;Droit;
2019;ORLEANS-TOURS;PARIS;Droit;1
2019;PARIS;PARIS;Droit;
2019;POITIERS;PARIS;Droit;
2019;REIMS;PARIS;Droit;
2019;RENNES;PARIS;Droit;1
2019;ROUEN;PARIS;Droit;
2019;STRASBOURG;PARIS;Droit;
2019;TOULOUSE;PARIS;Droit;
2019;VERSAILLES;PARIS;Droit;
2019;AIX-MARSEILLE;RENNES;Droit;
2019;AMIENS;RENNES;Droit;
2019;BESANCON;RENNES;Droit;
2019;BORDEAUX;RENNES;Droit;
2019;CAEN;RENNES;Droit;
2019;CLERMONT-FERRAND;RENNES;Droit;
2019;CORSE;RENNES;Droit;
2019;CRETEIL;RENNES;Droit;
2019;DIJON;RENNES;Droit;
2019;GRENOBLE;RENNES;Droit;
2019;GUADELOUPE;RENNES;Droit;
2019;LILLE;RENNES;Droit;
2019;LYON;RENNES;Droit;
2019;MONTPELLIER;RENNES;Droit;
2019;NANCY-METZ;RENNES;Droit;
2019;NANTES;RENNES;Droit;
2019;NICE;RENNES;Droit;
2019;ORLEANS-TOURS;RENNES;Droit;
2019;PARIS;RENNES;Droit;1
2019;POITIERS;RENNES;Droit;
2019;REIMS;RENNES;Droit;
2019;RENNES;RENNES;Droit;
2019;ROUEN;RENNES;Droit;
2019;STRASBOURG;RENNES;Droit;
2019;TOULOUSE;RENNES;Droit;
2019;VERSAILLES;RENNES;Droit;1
2019;AIX-MARSEILLE;ROUEN;Droit;
