"Rentrée";"Etablissement";"Catégorie";"Effectif"
2011;"Autres";"MCF";219
2011;"Autres";"PR";117
2013;"Autres";"PR";119
2013;"Autres";"MCF";231
2010;"Autres";"MCF";223
2010;"Autres";"PR";113
2012;"Autres";"MCF";229
2012;"Autres";"PR";118
2012;"Sciences Po";"PR";12
2012;"Sciences Po";"MCF";1
2023;"Autres";"MCF";276
2023;"Autres";"PR";141
2011;"Sciences Po";"PR";12
2016;"Autres";"MCF";257
2016;"Autres";"PR";117
2017;"Autres";"MCF";261
2017;"Autres";"PR";117
2014;"Autres";"PR";116
2014;"Autres";"MCF";241
2015;"Autres";"PR";116
2015;"Autres";"MCF";239
2013;"Sciences Po";"MCF";1
2013;"Sciences Po";"PR";12
2014;"Sciences Po";"PR";12
2014;"Sciences Po";"MCF";1
2021;"Autres";"MCF";275
2021;"Autres";"PR";124
2020;"Autres";"MCF";279
2020;"Autres";"PR";124
2018;"Autres";"MCF";264
2018;"Autres";"PR";119
2017;"Sciences Po";"PR";13
2019;"Autres";"MCF";270
2019;"Autres";"PR";121
2021;"Sciences Po";"PR";8
2022;"Autres";"MCF";276
2022;"Autres";"PR";127
2023;"Sciences Po";"PR";7
2022;"Sciences Po";"PR";9
2020;"Sciences Po";"PR";8
2010;"Sciences Po";"PR";11
2019;"Sciences Po";"PR";8
2018;"Sciences Po";"MCF";1
2017;"Sciences Po";"MCF";1
2015;"Sciences Po";"PR";13
2015;"Sciences Po";"MCF";1
2016;"Sciences Po";"PR";12
2018;"Sciences Po";"PR";8
2011;"Sciences Po";"MCF";1
2016;"Sciences Po";"MCF";1
2010;"Sciences Po";"MCF";1
