"Rentrée";"Effectif";"Type";"Val100"
2012;360;"Enseignants-chercheurs";100
2012;1289;"Doctorants";100
2012;26124;"Etudiants LM";100
2013;363;"Enseignants-chercheurs";100,833333333333
2013;1217;"Doctorants";94,4142746314973
2013;26969;"Etudiants LM";103,234573572194
2014;370;"Enseignants-chercheurs";102,777777777778
2014;1194;"Doctorants";92,6299456943367
2014;26770;"Etudiants LM";102,472821926198
2015;369;"Enseignants-chercheurs";102,5
2015;1131;"Doctorants";87,7424359968968
2015;28342;"Etudiants LM";108,490277139795
2016;387;"Enseignants-chercheurs";107,5
2016;1065;"Doctorants";82,622187742436
2016;29165;"Etudiants LM";111,64063696218
2017;392;"Enseignants-chercheurs";108,888888888889
2017;1213;"Doctorants";94,1039565554694
2017;30612;"Etudiants LM";117,179604960955
2018;392;"Enseignants-chercheurs";108,888888888889
2018;1166;"Doctorants";90,4577191621412
2018;30661;"Etudiants LM";117,367171949166
2019;399;"Enseignants-chercheurs";110,833333333333
2019;1136;"Doctorants";88,1303335919317
2019;31909;"Etudiants LM";122,144388301945
2020;411;"Enseignants-chercheurs";114,166666666667
2020;1174;"Doctorants";91,0783553141971
2020;31971;"Etudiants LM";122,381717960496
2021;407;"Enseignants-chercheurs";113,055555555556
2021;1145;"Doctorants";88,8285492629946
2021;33450;"Etudiants LM";128,043178686266
2022;412;"Enseignants-chercheurs";114,444444444444
2022;1119;"Doctorants";86,811481768813
2022;34315;"Etudiants LM";131,354310212831
