"Rentrée";"LMD";"DN_DE";"Effectif";"Cursus";"Diplôme"
2012;"M";"DN";22111;"M DN";"national"
2012;"L";"DN";3228;"L DN";"national"
2012;"L";"DU";441;"L DU";"d'établissement"
2012;"M";"DU";344;"M DU";"d'établissement"
2013;"M";"DN";22658;"M DN";"national"
2013;"L";"DN";3433;"L DN";"national"
2013;"L";"DU";575;"L DU";"d'établissement"
2013;"M";"DU";303;"M DU";"d'établissement"
2014;"M";"DN";22694;"M DN";"national"
2014;"L";"DU";694;"L DU";"d'établissement"
2014;"L";"DN";3077;"L DN";"national"
2014;"M";"DU";305;"M DU";"d'établissement"
2015;"L";"DU";652;"L DU";"d'établissement"
2015;"M";"DN";23654;"M DN";"national"
2015;"M";"DU";298;"M DU";"d'établissement"
2015;"L";"DN";3738;"L DN";"national"
2016;"L";"DU";5297;"L DU";"d'établissement"
2016;"M";"DN";19527;"M DN";"national"
2016;"M";"DU";295;"M DU";"d'établissement"
2016;"L";"DN";4046;"L DN";"national"
2017;"L";"DU";5435;"L DU";"d'établissement"
2017;"M";"DN";20341;"M DN";"national"
2017;"M";"DU";303;"M DU";"d'établissement"
2017;"L";"DN";4533;"L DN";"national"
2018;"L";"DU";5460;"L DU";"d'établissement"
2018;"M";"DN";20169;"M DN";"national"
2018;"M";"DU";319;"M DU";"d'établissement"
2018;"L";"DN";4713;"L DN";"national"
2019;"L";"DU";5565;"L DU";"d'établissement"
2019;"M";"DN";20899;"M DN";"national"
2019;"M";"DU";341;"M DU";"d'établissement"
2019;"L";"DN";5104;"L DN";"national"
2020;"L";"DU";5452;"L DU";"d'établissement"
2020;"M";"DN";21200;"M DN";"national"
2020;"M";"DU";226;"M DU";"d'établissement"
2020;"L";"DN";5093;"L DN";"national"
2021;"L";"DU";679;"L DU";"d'établissement"
2021;"M";"DN";21482;"M DN";"national"
2021;"M";"DU";342;"M DU";"d'établissement"
2021;"L";"DN";10947;"L DN";"national"
2022;"L";"DU";762;"L DU";"d'établissement"
2022;"M";"DN";21736;"M DN";"national"
2022;"M";"DU";245;"M DU";"d'établissement"
2022;"L";"DN";11572;"L DN";"national"
