"Rentrée";"LMD";"DN_DE";"Effectif";"Cursus"
2012;"M";"DN";22111;"Grade Master
Diplôme national"
2012;"L";"DN";3228;"Grade Licence
Diplôme national"
2012;"L";"DU";441;"Grade Licence
Diplôme d'établissement"
2012;"M";"DU";344;"Grade Master
Diplôme d'établissement"
2013;"M";"DN";22658;"Grade Master
Diplôme national"
2013;"L";"DN";3433;"Grade Licence
Diplôme national"
2013;"L";"DU";575;"Grade Licence
Diplôme d'établissement"
2013;"M";"DU";303;"Grade Master
Diplôme d'établissement"
2014;"M";"DN";22694;"Grade Master
Diplôme national"
2014;"L";"DU";694;"Grade Licence
Diplôme d'établissement"
2014;"L";"DN";3077;"Grade Licence
Diplôme national"
2014;"M";"DU";305;"Grade Master
Diplôme d'établissement"
2015;"L";"DU";652;"Grade Licence
Diplôme d'établissement"
2015;"M";"DN";23654;"Grade Master
Diplôme national"
2015;"M";"DU";298;"Grade Master
Diplôme d'établissement"
2015;"L";"DN";3738;"Grade Licence
Diplôme national"
2016;"L";"DU";5297;"Grade Licence
Diplôme d'établissement"
2016;"M";"DN";19527;"Grade Master
Diplôme national"
2016;"M";"DU";295;"Grade Master
Diplôme d'établissement"
2016;"L";"DN";4046;"Grade Licence
Diplôme national"
2017;"L";"DU";5435;"Grade Licence
Diplôme d'établissement"
2017;"M";"DN";20341;"Grade Master
Diplôme national"
2017;"M";"DU";303;"Grade Master
Diplôme d'établissement"
2017;"L";"DN";4533;"Grade Licence
Diplôme national"
2018;"L";"DU";5460;"Grade Licence
Diplôme d'établissement"
2018;"M";"DN";20169;"Grade Master
Diplôme national"
2018;"M";"DU";319;"Grade Master
Diplôme d'établissement"
2018;"L";"DN";4713;"Grade Licence
Diplôme national"
2019;"L";"DU";5565;"Grade Licence
Diplôme d'établissement"
2019;"M";"DN";20899;"Grade Master
Diplôme national"
2019;"M";"DU";341;"Grade Master
Diplôme d'établissement"
2019;"L";"DN";5104;"Grade Licence
Diplôme national"
2020;"L";"DU";5452;"Grade Licence
Diplôme d'établissement"
2020;"M";"DN";21200;"Grade Master
Diplôme national"
2020;"M";"DU";226;"Grade Master
Diplôme d'établissement"
2020;"L";"DN";5093;"Grade Licence
Diplôme national"
2021;"L";"DU";679;"Grade Licence
Diplôme d'établissement"
2021;"M";"DN";21482;"Grade Master
Diplôme national"
2021;"M";"DU";342;"Grade Master
Diplôme d'établissement"
2021;"L";"DN";10947;"Grade Licence
Diplôme national"
2022;"L";"DU";762;"Grade Licence
Diplôme d'établissement"
2022;"M";"DN";21736;"Grade Master
Diplôme national"
2022;"M";"DU";245;"Grade Master
Diplôme d'établissement"
2022;"L";"DN";11572;"Grade Licence
Diplôme national"
