link;reference;title;jobLocation;datePosted;employmentType;duration.months;workHours;baseSalary;Salaire.brut.min;Salaire.brut.max;educationRequirements;experienceRequirements
https://emploi.cnrs.fr/Offres/CDD/UMR5506-DAVPAR-002/Default.aspx;UMR5506-DAVPAR-002;Ingénieur d étude Informatique (H/F) développement d une micro-architecture parallèle;PERPIGNAN;vendredi 19 mars 2021;CDD Technique/Administratif;12;Temps complet;entre 1700 et 1900 euros net;NA;NA;Bac+5;Indifférent
https://emploi.cnrs.fr/Offres/CDD/USR2004-ALELAC-006/Default.aspx;USR2004-ALELAC-006;H/F Chargé-e d édition web;MARSEILLE 13;vendredi 19 mars 2021;CDD Technique/Administratif;12;Temps complet;entre 2151.32€ et 2578.20€;NA;NA;Bac+3;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR7302-MARAUR1-003/Default.aspx;UMR7302-MARAUR1-003;Chercheur postdoc en épigraphie médiévale H/F;POITIERS;lundi 22 mars 2021;CDD Scientifique;12;Temps complet;de 2648,79 à 3768,24€ selon expérience.;NA;NA;Doctorat;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR8628-MARMYO-023/Default.aspx;UMR8628-MARMYO-023;Postodoctorant en Arithémtique Géométrie à l Université Paris-Sud H/F;ORSAY;mardi 23 mars 2021;CDD Scientifique;12;Temps complet;ENTRE 2700 ET 3000 EUROS;NA;NA;Bac+5;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR8628-MARMYO-022/Default.aspx;UMR8628-MARMYO-022;Postodoctorant en Arithémtique Géométrie à l Université Paris Saclay  H/F;ORSAY;mardi 23 mars 2021;CDD Scientifique;24;Temps complet;ENTRE 2700 ET 3000 EUROS;NA;NA;Bac+5;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR5554-CARSMA-001/Default.aspx;UMR5554-CARSMA-001;Technicien·ne bap-A biologiste temps plein H/F;MONTPELLIER;mardi 23 mars 2021;CDD Technique/Administratif;12;Temps complet;entre 1300 et 1510 euros nets mensuels selon expérience;NA;NA;Bac+2;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UPR299-NICSIH-001/Default.aspx;UPR299-NICSIH-001;Chargé(e) de ressources et d ingénierie documentaires (H/F);AUBERVILLIERS;mardi 23 mars 2021;CDD Technique/Administratif;3;Temps complet;à partir de 2 510 euros et selon expérience;NA;NA;Bac+5;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR6042-ANNBON-006/Default.aspx;UMR6042-ANNBON-006;Evaluation de l état de conservation des habitats agro-pastoraux : approche multi-indicateurs (H/F);CLERMONT FERRAND;jeudi 25 mars 2021;CDD Scientifique;8;Temps complet;2530,09 euros à 2919,72 euros pour 0 à deux années d expérience post doctorale;NA;NA;Doctorat;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR7302-MARAUR1-002/Default.aspx;UMR7302-MARAUR1-002;Chercheur postdoc en épigraphie médiévale H/F;POITIERS;jeudi 25 mars 2021;CDD Scientifique;24;Temps complet;de 2648,79 à 3054.06 € selon expérience inférieure à 2 ans;NA;NA;Doctorat;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR5224-CHRPIC-002/Default.aspx;UMR5224-CHRPIC-002;Poste d ingénieur : simulation numérique, réduction de modèle et contrôle des écoulements pour l aérodynamique de véhicules routiers (H/F);GRENOBLE;jeudi 25 mars 2021;CDD Technique/Administratif;5;Temps complet;2807,68€;NA;NA;Bac+5;5 à 10 années
