"link";"reference";"title";"jobLocation";"datePosted";"employmentType";"duration.months";"workHours";"baseSalary";"educationRequirements";"experienceRequirements"
"https://emploi.cnrs.fr/Offres/CDD/MOY400-NATSEN-058/Default.aspx";"MOY400-NATSEN-058";"Gestionnaire des Ressources Humaines H/F";"GIF SUR YVETTE";"vendredi 13 novembre 2020";"CDD Technique/Administratif";12;"Temps complet";"entre 1661€ et 1896€ bruts mensuel selon expérience";"Bac / Bac pro";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR6533-GERFET-004/Default.aspx";"UMR6533-GERFET-004";"H/F Technicien(ne) en gestion administrative";"AUBIERE";"samedi 14 novembre 2020";"CDD Technique/Administratif";4;"Temps complet";"1613 € brut mensuel";"Bac / Bac pro";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR7209-ANNHAU-001/Default.aspx";"UMR7209-ANNHAU-001";"Chercheur F/H. Documenter la diversité et l émergence des premières races ovines durant la protohistoire en Asie du Sud-Ouest (H/F)";"PARIS 05";"dimanche 15 novembre 2020";"CDD Scientifique";22;"Temps complet";"entre 2700€ et 3800€ selon expérience (brut mensuel)";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR7274-HELTOR-002/Default.aspx";"UMR7274-HELTOR-002";"Rhéologie structurelle de bitumes additivés d organogels (H/F)";"NANCY";"lundi 16 novembre 2020";"CDD Scientifique";5;"Temps complet";"Environ 2600 euros brut mois";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR7274-ISACHE-002/Default.aspx";"UMR7274-ISACHE-002";"Ingénieur d études (H/F) en culture de cellules animales";"VANDOEUVRE LES NANCY";"lundi 16 novembre 2020";"CDD Technique/Administratif";10;"Temps complet";"entre 2100 € et 2200 € bruts mensuels selon expérience";"Bac+4";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMS3194-FLOMAS-002/Default.aspx";"UMS3194-FLOMAS-002";"Développeur application web H/F";"ST PIERRE LES NEMOURS";"lundi 16 novembre 2020";"CDD Technique/Administratif";12;"Temps complet";"2151 euros brut par mois";"Bac+3";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR137-ANNDUS-002/Default.aspx";"UMR137-ANNDUS-002";"Manager de projets européens (H/F)";"PALAISEAU";"lundi 16 novembre 2020";"CDD Technique/Administratif";12;"Temps complet";"à partir de 2151,31 € brut (selon expérience)";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR6174-SARBEN-001/Default.aspx";"UMR6174-SARBEN-001";"(H/F) Post-doctorant — Phononique, micro-nanosystèmes, acoustique quantique.";"BESANCON";"lundi 16 novembre 2020";"CDD Scientifique";12;"Temps complet";"Entre 2600 € et 3600 € brut mensuel selon l expérience.";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5069-SAMLAK-001/Default.aspx";"UMR5069-SAMLAK-001";"Post-doctorant(e) H/F en synthèse organique";"TOULOUSE";"lundi 16 novembre 2020";"CDD Scientifique";14;"Temps complet";"de 2648 à 3768 € brut mensuel selon expérience";"Doctorat";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMS3194-FLOMAS-001/Default.aspx";"UMS3194-FLOMAS-001";"Administrateur systèmes d information H/F";"ST PIERRE LES NEMOURS";"lundi 16 novembre 2020";"CDD Technique/Administratif";12;"Temps complet";"2151 euros brut par mois";"Bac+3";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR8167-GUICHA-003/Default.aspx";"UMR8167-GUICHA-003";"Post-doctorat en archéologie islamique (H/F)";"IVRY SUR SEINE";"lundi 16 novembre 2020";"CDD Scientifique";12;"Temps complet";"2600 à 3800 euros bruts mensuels selon expérience";"Doctorat";"5 à 10 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR7583-GENTUA-024/Default.aspx";"UMR7583-GENTUA-024";"Ingénieur(e) projet européen (H/F)";"CRETEIL";"lundi 16 novembre 2020";"CDD Technique/Administratif";12;"Temps complet";"entre 2 151,31 à 2 272,27 euros bruts mensuel selon expérience";"Bac+5";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR6634-CHRVUR-022/Default.aspx";"UMR6634-CHRVUR-022";"Jeune chercheur.se en imagerie 3D à l échelle atomique et spectroscopie optique (H/F)";"ST ETIENNE DU ROUVRAY CEDE";"lundi 16 novembre 2020";"CDD Scientifique";9;"Temps complet";"entre 2 643 et 3 766 €  brut mensuel selon expérience";"Doctorat";"1 à 4 années"
