"Indicateur","Catégorie"
"Acquisitions.d.immobilisations","Autofinancement des investissements"
"Capacité.d.autofinancement","Autofinancement des investissements"
"Besoin.en.fonds.de.roulement","Cycle d’exploitation"
"Fonds.de.roulement.en.jours.de.charges.décaissables","Cycle d’exploitation"
"Fonds.de.roulement.net.global","Cycle d’exploitation"
"Trésorerie","Cycle d’exploitation"
"Trésorerie.en.jours.de.charges.décaissables","Cycle d’exploitation"
"CAF...Produits.encaissables","Equilibre Financier"
"Excédent.Brut.d.Exploitation..EBE.","Equilibre Financier"
"Résultat.net.comptable","Equilibre Financier"
"Résultat.net.comptable.hors.SIE","Equilibre Financier"
"Produits.de.fonctionnement.encaissables","Equilibre Financier"
"Droits.d.inscription","Ressources Propres"
"Formation.continue..diplômes.propres.et.VAE","Ressources Propres"
"Taxe.d.apprentissage","Ressources Propres"
"Valorisation","Ressources Propres"
"ANR.hors.investissements.d.avenir","Ressources Propres"
"ANR.investissements.d.avenir","Ressources Propres"
"Contrats.et.prestations.de.recherche.hors.ANR","Ressources Propres"
"Subventions.de.la.région","Ressources Propres"
"Subventions.Union.Européenne","Ressources Propres"
"Autres.ressources.propres","Ressources Propres"
"Autres.Subventions","Ressources Propres"
"Charges.de.fonctionnement.décaissables","Financement de l’activité"
"Charges.décaissables...Produits.encaissables","Financement de l’activité"
"Charges.externes","Financement de l’activité"
"Charges.externes...Produits.encaissables","Financement de l’activité"
"Dépenses.de.personnel","Financement de l’activité"
"Dépenses.de.personnel...Produits.encaissables","Financement de l’activité"
"Ressources.propres","Financement de l’activité"
"Ressources.propres...Produits.encaissables","Financement de l’activité"
"Solde.budgétaire","Indicateur GBCP"
