Code UAI,Etablissement,Rentrée,Charge totale d'enseignement,Heures complémentaires,Heures complémentaires des permanents,Heures des vacataires,Heures complémentaires payables
0311383K,Université Toulouse - Jean Jaurès,2014,408188.0,152224.0,,,
0311383K,Université Toulouse - Jean Jaurès,2015,412278.0,157374.0,,,
0311383K,Université Toulouse - Jean Jaurès,2016,427916.0,169303.0,,,
0311383K,Université Toulouse - Jean Jaurès,2017,424515.0,165400.0,,,
0311383K,Université Toulouse - Jean Jaurès,2018,434008.0,173628.0,,,
0342490X,Université de Montpellier,2015,,228773.0,110309.0,,
0342490X,Université de Montpellier,2016,,266881.0,142632.0,,
0342490X,Université de Montpellier,2017,,275263.0,149449.0,,
0342490X,Université de Montpellier,2018,,279816.0,155510.0,,
0342490X,Université de Montpellier,2019,,262647.0,144928.0,,
0342490X,Université de Montpellier,2020,,282132.0,165642.0,,
0342490X,Université de Montpellier,2021,,293105.0,175829.0,,
0442953W,Nantes Université,2003,,222916.0,89048.0,,
0442953W,Nantes Université,2004,,183866.0,77556.0,,
0442953W,Nantes Université,2005,,198423.0,88264.0,,
0442953W,Nantes Université,2006,,200451.0,88227.0,,
0442953W,Nantes Université,2010,,256755.0,123865.0,,
0442953W,Nantes Université,2011,,234493.0,104694.0,,
0442953W,Nantes Université,2012,,216306.0,97572.0,,
0442953W,Nantes Université,2013,,220914.0,102519.0,,
0442953W,Nantes Université,2014,,249876.0,115443.0,,
0442953W,Nantes Université,2015,,237782.0,111765.0,,
0442953W,Nantes Université,2016,,254729.0,124014.0,,
0442953W,Nantes Université,2017,,250211.0,123578.0,,
9740478B,Université de La Réunion,2016,,59574.0,21758.0,,
0681166Y,Université de Haute-Alsace,2013,201741.0,42038.0,,46969.0,
0681166Y,Université de Haute-Alsace,2016,194947.0,45711.0,,40057.0,
0681166Y,Université de Haute-Alsace,2017,196276.0,46517.0,,41713.0,
0681166Y,Université de Haute-Alsace,2018,198020.0,49353.0,,38490.0,
0681166Y,Université de Haute-Alsace,2019,198653.0,47546.0,,38603.0,
0681166Y,Université de Haute-Alsace,2020,204437.0,50698.0,,39708.0,
0681166Y,Université de Haute-Alsace,2021,203871.0,50200.0,,38736.0,
0692437Z,Université Jean Moulin - Lyon 3,2007,270224.0,151325.0,,,
0692437Z,Université Jean Moulin - Lyon 3,2008,278925.0,161776.0,,,
0692437Z,Université Jean Moulin - Lyon 3,2015,288757.0,124454.0,,,
