"","Code.UAI","Etablissement","Rentrée","Charge.totale.d.enseignement","Heures.complémentaires","Heures.complémentaires.des.permanents","Heures.des.vacataires","Heures.complémentaires.payables","pid","Etudiants","Enseignants"
"1","0311383K","Université Toulouse - Jean Jaurès",2014,408188,152224,NA,NA,NA,"HqAYu",25551,929
"2","0311383K","Université Toulouse - Jean Jaurès",2015,412278,157374,NA,NA,NA,"HqAYu",25995,942
"3","0311383K","Université Toulouse - Jean Jaurès",2016,427916,169303,NA,NA,NA,"HqAYu",28188,948
"4","0311383K","Université Toulouse - Jean Jaurès",2017,424515,165400,NA,NA,NA,"HqAYu",29012,935
"5","0311383K","Université Toulouse - Jean Jaurès",2018,434008,173628,NA,NA,NA,"HqAYu",28537,927
"6","0342490X","Université de Montpellier",2015,NA,228773,110309,118464,NA,"evv7S",40918,1716
"7","0342490X","Université de Montpellier",2016,NA,266881,142632,124249,NA,"evv7S",41038,1731
"8","0342490X","Université de Montpellier",2017,NA,275263,149449,125814,NA,"evv7S",41952,1696
"9","0342490X","Université de Montpellier",2018,NA,279816,155510,124306,NA,"evv7S",42482,1734
"10","0342490X","Université de Montpellier",2019,NA,262647,144928,117719,NA,"evv7S",43445,1732
"11","0342490X","Université de Montpellier",2020,NA,282132,165642,116490,NA,"evv7S",43786,1708
"12","0342490X","Université de Montpellier",2021,NA,293105,175829,117276,NA,"evv7S",44259,1740
"13","0442953W","Nantes Université",2003,NA,222916,89048,133868,NA,"qUCQp",NA,NA
"14","0442953W","Nantes Université",2004,NA,183866,77556,106310,NA,"qUCQp",NA,NA
"15","0442953W","Nantes Université",2005,NA,198423,88264,110159,NA,"qUCQp",NA,NA
"16","0442953W","Nantes Université",2006,NA,200451,88227,112224,NA,"qUCQp",33688,NA
"17","0442953W","Nantes Université",2010,NA,256755,123865,132890,NA,"qUCQp",31837,1509
"18","0442953W","Nantes Université",2011,NA,234493,104694,129799,NA,"qUCQp",31568,1511
"19","0442953W","Nantes Université",2012,NA,216306,97572,118734,NA,"qUCQp",32256,1534
"20","0442953W","Nantes Université",2013,NA,220914,102519,118395,NA,"qUCQp",34092,1532
"21","0442953W","Nantes Université",2014,NA,249876,115443,134433,NA,"qUCQp",36767,1529
"22","0442953W","Nantes Université",2015,NA,237782,111765,126017,NA,"qUCQp",37272,1523
"23","0442953W","Nantes Université",2016,NA,254729,124014,130715,NA,"qUCQp",38776,1533
"24","0442953W","Nantes Université",2017,NA,250211,123578,126633,NA,"qUCQp",37930,1455
"25","9740478B","Université de La Réunion",2016,NA,59574,21758,37816,NA,"cEt92",13928,431
"26","0681166Y","Université de Haute-Alsace",2013,201741,42038,-4931,46969,NA,"OJZ4a",7220,442
"27","0681166Y","Université de Haute-Alsace",2016,194947,45711,5654,40057,NA,"OJZ4a",7796,433
"28","0681166Y","Université de Haute-Alsace",2017,196276,46517,4804,41713,NA,"OJZ4a",9095,428
"29","0681166Y","Université de Haute-Alsace",2018,198020,49353,10863,38490,NA,"OJZ4a",9744,434
"30","0681166Y","Université de Haute-Alsace",2019,198653,47546,8943,38603,NA,"OJZ4a",9973,441
"31","0681166Y","Université de Haute-Alsace",2020,204437,50698,10990,39708,NA,"OJZ4a",10056,453
"32","0681166Y","Université de Haute-Alsace",2021,203871,50200,11464,38736,NA,"OJZ4a",9753,454
"33","0692437Z","Université Jean Moulin - Lyon 3",2007,270224,151325,NA,NA,NA,"7Gzub",20064,NA
"34","0692437Z","Université Jean Moulin - Lyon 3",2008,278925,161776,NA,NA,NA,"7Gzub",19869,NA
"35","0692437Z","Université Jean Moulin - Lyon 3",2015,288757,124454,NA,NA,NA,"7Gzub",25866,489
"36","0692437Z","Université Jean Moulin - Lyon 3",2016,293324,126423,NA,NA,NA,"7Gzub",26401,489
"37","0692437Z","Université Jean Moulin - Lyon 3",2019,273122,120720,NA,NA,NA,"7Gzub",25220,472
"38","0755976N","Université Paris Cité",2021,4685937,NA,NA,NA,NA,"5cZyU",53407,2613
"39","0341089Z","Université Paul-Valéry - Montpellier 3",2011,NA,75687,33802,41885,74692,"1I7hJ",17091,496
"40","0341089Z","Université Paul-Valéry - Montpellier 3",2012,NA,79867,32144,47723,79701,"1I7hJ",17656,500
"41","0341089Z","Université Paul-Valéry - Montpellier 3",2013,NA,82220,33231,48989,81120,"1I7hJ",18393,511
"42","0341089Z","Université Paul-Valéry - Montpellier 3",2014,NA,83876,36997,46879,82199,"1I7hJ",17410,510
"43","0341089Z","Université Paul-Valéry - Montpellier 3",2018,NA,82723,36908,45815,NA,"1I7hJ",18878,502
"44","0341089Z","Université Paul-Valéry - Montpellier 3",2019,NA,86037,40770,45267,NA,"1I7hJ",20267,499
"45","0341089Z","Université Paul-Valéry - Montpellier 3",2020,NA,90969,46218,44751,NA,"1I7hJ",20850,507
"46","0772894C","Université Gustave Eiffel",2018,NA,92005,28257,63748,NA,"3Z5e6",11802,403
"47","0772894C","Université Gustave Eiffel",2019,NA,91759,29663,62096,NA,"3Z5e6",15129,422
"48","0772894C","Université Gustave Eiffel",2020,NA,130672,46400,84272,NA,"3Z5e6",15275,428
"49","0333298F","Université de Bordeaux",2019,3245800,206206,NA,NA,NA,"90I54",46706,1841
"50","0333298F","Université de Bordeaux",2020,3280495,191344,NA,NA,NA,"90I54",44745,1827
"51","0720916E","Le Mans Université",2014,NA,69123,31685,37438,NA,"9xlel",8918,460
"52","0720916E","Le Mans Université",2016,NA,69866,34807,35059,NA,"9xlel",8722,468
"53","0720916E","Le Mans Université",2017,NA,70246,34953,35293,NA,"9xlel",9165,461
"54","0720916E","Le Mans Université",2018,NA,70161,35133,35028,NA,"9xlel",9427,464
"55","0597239Y","Université de Lille",2017,NA,392528,197177,195352,NA,"U8a0v",70014,2632
"56","0597239Y","Université de Lille",2018,NA,434406,225375,209031,NA,"U8a0v",69202,2634
"57","0597239Y","Université de Lille",2019,NA,409549,214649,194900,NA,"U8a0v",69948,2587
"58","0597239Y","Université de Lille",2020,NA,494086,290514,203572,NA,"U8a0v",68833,2581
"59","0597239Y","Université de Lille",2021,NA,505038,303357,201681,NA,"U8a0v",75237,2626
"60","0931238R","Université Sorbonne Paris Nord",2018,NA,NA,NA,105801,NA,"cqyN7",20863,883
"61","0931238R","Université Sorbonne Paris Nord",2019,NA,NA,NA,97154,NA,"cqyN7",21116,872
"62","0730858L","Université Savoie Mont Blanc",2014,NA,143102,70646,72269,NA,"zCa4j",12478,531
"63","0730858L","Université Savoie Mont Blanc",2015,NA,147215,73958,73187,NA,"zCa4j",12842,531
"64","0730858L","Université Savoie Mont Blanc",2016,NA,152045,77919,74126,NA,"zCa4j",12936,542
"65","0730858L","Université Savoie Mont Blanc",2017,NA,159863,84454,75409,NA,"zCa4j",13196,525
"66","0730858L","Université Savoie Mont Blanc",2018,NA,167985,89123,78861,NA,"zCa4j",13276,542
"67","0730858L","Université Savoie Mont Blanc",2019,NA,154896,82468,72427,NA,"zCa4j",13527,546
"68","0730858L","Université Savoie Mont Blanc",2020,NA,161740,90221,71519,NA,"zCa4j",13929,531
"69","0921204J","Université Paris Nanterre",2013,NA,NA,NA,96664,NA,"g6rwB",29912,944
"70","0921204J","Université Paris Nanterre",2014,NA,NA,NA,90407,NA,"g6rwB",28659,956
"71","0921204J","Université Paris Nanterre",2015,NA,NA,NA,97196,NA,"g6rwB",28497,954
"72","0421095M","Université Jean Monnet",2018,NA,157597,67466,90131,NA,"tIJ02",18303,631
"73","0421095M","Université Jean Monnet",2019,NA,145328,67632,77696,NA,"tIJ02",17946,644
"74","0421095M","Université Jean Monnet",2020,NA,149823,74352,75471,NA,"tIJ02",16670,653
"75","0421095M","Université Jean Monnet",2021,NA,150338,74415,75923,NA,"tIJ02",16744,650
"76","9840349G","Université de la Polynésie Française",2013,431407,235153,119163,115990,NA,"zepT6",3378,88
"77","9840349G","Université de la Polynésie Française",2014,476852,211232,117742,93490,NA,"zepT6",3453,95
"78","9840349G","Université de la Polynésie Française",2015,503042,234929,130664,104265,NA,"zepT6",3597,95
"79","9840349G","Université de la Polynésie Française",2016,509349,240729,137097,103632,NA,"zepT6",3321,98
"80","0931827F","Université Paris 8 - Vincennes - Saint-Denis",2013,NA,100685,23629,77056,NA,"Uxr7Z",21022,720
"81","0931827F","Université Paris 8 - Vincennes - Saint-Denis",2014,NA,96542,19637,76905,NA,"Uxr7Z",20593,717
"82","0561718N","Université Bretagne Sud",2018,NA,79171,39020,33583,NA,"5tVy4",8771,375
"83","0561718N","Université Bretagne Sud",2019,NA,78070,46588,31482,NA,"5tVy4",9169,385
"84","0561718N","Université Bretagne Sud",2020,984978,83946,42788,41157,NA,"5tVy4",9768,376
"85","0561718N","Université Bretagne Sud",2021,1048491,85324,43305,42019,NA,"5tVy4",9761,382
"86","0211237F","Université de Bourgogne",2016,451932,175283,87088,88195,NA,"Lr94O",27150,1232
"87","0211237F","Université de Bourgogne",2017,433655,166633,79508,87125,NA,"Lr94O",27533,1211
"88","0211237F","Université de Bourgogne",2018,453327,184895,90338,94557,NA,"Lr94O",28511,1186
"89","0840685N","Avignon Université",2011,NA,41053,28207,12846,NA,"vxHYt",6410,277
"90","0840685N","Avignon Université",2012,NA,39498,26838,12660,NA,"vxHYt",6579,281
"91","0840685N","Avignon Université",2013,NA,39980,12394,27586,NA,"vxHYt",6302,272
"92","0840685N","Avignon Université",2014,NA,40627,12114,28513,NA,"vxHYt",6325,283
"93","0840685N","Avignon Université",2015,NA,43865,12580,31285,NA,"vxHYt",6486,276
"94","0840685N","Avignon Université",2016,NA,44282,12842,31440,NA,"vxHYt",6601,277
"95","0840685N","Avignon Université",2017,NA,46961,13371,33590,NA,"vxHYt",6487,263
"96","0840685N","Avignon Université",2018,NA,44397,12669,31729,NA,"vxHYt",6770,265
"97","0840685N","Avignon Université",2019,NA,42556,11727,30829,NA,"vxHYt",6778,266
"98","0870669E","Université de Limoges",2015,NA,118992,51696,67294,NA,"nkbwh",14860,769
"99","0870669E","Université de Limoges",2016,NA,120886,55495,65390,NA,"nkbwh",15230,777
"100","0870669E","Université de Limoges",2017,NA,119470,54672,64798,NA,"nkbwh",15637,777
"101","0870669E","Université de Limoges",2018,NA,109210,49608,59602,NA,"nkbwh",16487,762
"102","0870669E","Université de Limoges",2019,NA,107762,52583,55179,NA,"nkbwh",16909,764
"103","0450855K","Université d'Orléans",2016,NA,136543,73241,63302,NA,"HCBvW",17209,871
"104","0450855K","Université d'Orléans",2017,NA,137517,72263,65254,NA,"HCBvW",17490,855
"105","0450855K","Université d'Orléans",2018,NA,127805,67246,60560,NA,"HCBvW",18128,846
"106","0450855K","Université d'Orléans",2019,NA,124330,67768,56562,NA,"HCBvW",18205,839
"107","0450855K","Université d'Orléans",2020,NA,124747,70954,53792,NA,"HCBvW",19229,837
"108","0450855K","Université d'Orléans",2021,NA,141160,78879,62281,NA,"HCBvW",18954,842
"109","0640251A","Université de Pau et des Pays de l'Adour",2018,NA,79322,NA,NA,NA,"Mz286",11667,572
"110","0640251A","Université de Pau et des Pays de l'Adour",2019,NA,87146,NA,NA,NA,"Mz286",12073,565
"111","0640251A","Université de Pau et des Pays de l'Adour",2020,NA,95639,NA,NA,NA,"Mz286",12572,561
"112","0640251A","Université de Pau et des Pays de l'Adour",2021,NA,99391,NA,NA,NA,"Mz286",12318,554
"113","0691775E","Université Lumière - Lyon 2",2015,NA,134927,128088,6839,NA,"CUBKB",26195,654
"114","0691775E","Université Lumière - Lyon 2",2016,NA,120137,113431,6706,NA,"CUBKB",26061,661
"115","0691775E","Université Lumière - Lyon 2",2017,NA,136844,119563,17281,NA,"CUBKB",25378,646
"116","0691775E","Université Lumière - Lyon 2",2018,NA,141814,126377,15437,NA,"CUBKB",26543,654
"117","0691775E","Université Lumière - Lyon 2",2019,NA,134390,121777,12613,NA,"CUBKB",26071,649
"118","0691775E","Université Lumière - Lyon 2",2020,NA,145507,127859,17648,NA,"CUBKB",26207,669
"119","0691775E","Université Lumière - Lyon 2",2021,NA,141896,127152,14744,NA,"CUBKB",26012,664
"120","0691774D","Université Claude Bernard - Lyon 1",2012,NA,160244,83654,76590,NA,"etBz7",32409,1736
"121","0691774D","Université Claude Bernard - Lyon 1",2013,NA,158883,84715,74168,NA,"etBz7",33803,1745
"122","0691774D","Université Claude Bernard - Lyon 1",2014,NA,162764,90038,72726,NA,"etBz7",36721,1752
"123","0691774D","Université Claude Bernard - Lyon 1",2015,NA,168915,95274,73641,NA,"etBz7",37992,1759
"124","0691774D","Université Claude Bernard - Lyon 1",2016,NA,168488,92621,75867,NA,"etBz7",38877,1748
"125","0691774D","Université Claude Bernard - Lyon 1",2017,NA,173301,94519,78782,NA,"etBz7",39574,1769
"126","0691774D","Université Claude Bernard - Lyon 1",2018,NA,184191,100910,83281,NA,"etBz7",39775,1774
"127","0691774D","Université Claude Bernard - Lyon 1",2019,NA,177913,97449,80464,NA,"etBz7",40458,1769
"128","0632084Y","Université Clermont Auvergne",2016,NA,166743,NA,NA,NA,"K4lR3",29413,1375
"129","0632084Y","Université Clermont Auvergne",2017,NA,172459,NA,NA,NA,"K4lR3",30479,1373
"130","0632084Y","Université Clermont Auvergne",2018,NA,175607,NA,NA,NA,"K4lR3",31021,1365
"131","0751717J","Université Paris 1 - Panthéon Sorbonne",2015,NA,134502,30535,103967,NA,"6G2TU",33127,824
"132","0751717J","Université Paris 1 - Panthéon Sorbonne",2016,NA,132880,28374,104506,NA,"6G2TU",33077,726
"133","0751717J","Université Paris 1 - Panthéon Sorbonne",2017,NA,129535,27243,102292,NA,"6G2TU",34299,812
"134","0751717J","Université Paris 1 - Panthéon Sorbonne",2018,NA,147462,32747,114715,NA,"6G2TU",35892,817
"135","0751717J","Université Paris 1 - Panthéon Sorbonne",2019,NA,179693,42321,137372,NA,"6G2TU",36180,823
"136","0952259P","CY Cergy Paris Université",2014,310564,122524,70340,52184,NA,"RS4WF",16490,674
"137","0952259P","CY Cergy Paris Université",2015,327461,132288,77199,55089,NA,"RS4WF",17772,659
"138","0952259P","CY Cergy Paris Université",2016,331492,135641,80630,55011,NA,"RS4WF",18560,666
"139","0952259P","CY Cergy Paris Université",2017,343691,144326,86416,57910,NA,"RS4WF",19355,663
"140","0597132G","Université Polytechnique Hauts-de-France",2014,NA,111073,NA,NA,NA,"EW53M",9972,539
"141","0597132G","Université Polytechnique Hauts-de-France",2015,NA,113042,NA,NA,NA,"EW53M",10437,516
"142","0597132G","Université Polytechnique Hauts-de-France",2016,NA,123789,NA,NA,NA,"EW53M",10932,516
"143","0597132G","Université Polytechnique Hauts-de-France",2017,NA,129456,NA,NA,NA,"EW53M",11357,505
"144","0597132G","Université Polytechnique Hauts-de-France",2018,NA,137316,NA,NA,NA,"EW53M",11587,508
"145","0597132G","Université Polytechnique Hauts-de-France",2019,NA,135661,NA,NA,NA,"EW53M",12310,516
"146","0313124C","Université Toulouse Capitole",2008,NA,NA,24675,NA,NA,NA,NA,NA
"147","0313124C","Université Toulouse Capitole",2009,NA,NA,21588,NA,NA,NA,NA,NA
"148","0313124C","Université Toulouse Capitole",2010,NA,NA,20865,NA,NA,NA,NA,NA
"149","0313124C","Université Toulouse Capitole",2011,NA,88462,33940,54522,NA,NA,NA,NA
"150","0313124C","Université Toulouse Capitole",2012,NA,94209,35304,58905,NA,NA,NA,NA
"151","0313124C","Université Toulouse Capitole",2013,201698,102000,41907,60093,NA,NA,NA,NA
"152","0313124C","Université Toulouse Capitole",2014,205381,107036,42188,64848,NA,NA,NA,NA
"153","0313124C","Université Toulouse Capitole",2015,208217,108033,43929,64104,NA,NA,NA,NA
"154","0313124C","Université Toulouse Capitole",2016,204405,106194,43427,62767,NA,NA,NA,NA
"155","0313124C","Université Toulouse Capitole",2017,211394,110079,46712,63367,NA,NA,NA,NA
"156","0313124C","Université Toulouse Capitole",2018,212116,112046,47349,64697,NA,NA,NA,NA
"157","0313124C","Université Toulouse Capitole",2019,217608,118572,50859,67713,NA,NA,NA,NA
"158","0490970N","Université d'Angers",2014,NA,125060,52989,72071,NA,"IXHyv",20703,711
"159","0490970N","Université d'Angers",2015,NA,126905,56909,69996,NA,"IXHyv",21070,725
"160","0490970N","Université d'Angers",2016,NA,135010,60907,74103,NA,"IXHyv",21518,719
"161","0490970N","Université d'Angers",2017,NA,139800,63406,76394,NA,"IXHyv",21725,709
"162","0490970N","Université d'Angers",2018,NA,137154,62523,74632,NA,"IXHyv",22530,722
"163","0211237F","Université de Bourgogne",2019,451932,184895,90338,94557,NA,"Lr94O",29182,1157
"164","0211237F","Université de Bourgogne",2020,455092,183288,89086,94203,NA,"Lr94O",29579,1155
"165","0141408E","Université de Caen Normandie",2019,NA,197513,86906,110607,NA,"p25Q3",27953,1094
"166","0911975C","Université d'Évry-Val-d'Essonne",2012,NA,134124,NA,NA,NA,"RN4E6",9027,401
"167","0911975C","Université d'Évry-Val-d'Essonne",2013,NA,126766,NA,NA,NA,"RN4E6",8536,396
"168","0911975C","Université d'Évry-Val-d'Essonne",2014,NA,118968,NA,NA,NA,"RN4E6",8813,387
"169","0911975C","Université d'Évry-Val-d'Essonne",2015,NA,115424,NA,NA,NA,"RN4E6",9460,371
"170","0911975C","Université d'Évry-Val-d'Essonne",2016,NA,119149,41566,77583,NA,"RN4E6",8487,367
"171","0911975C","Université d'Évry-Val-d'Essonne",2017,NA,130740,52917,77823,NA,"RN4E6",8870,360
"172","0772894C","Université Gustave Eiffel",2017,NA,89493,27760,61733,NA,"3Z5e6",11642,393
"173","9740478B","Université de La Réunion",2010,NA,78832,NA,NA,NA,"cEt92",11376,412
"174","9740478B","Université de La Réunion",2011,NA,80400,NA,NA,NA,"cEt92",11292,419
"175","9740478B","Université de La Réunion",2012,NA,80493,NA,NA,NA,"cEt92",11889,422
"176","9740478B","Université de La Réunion",2013,NA,83832,NA,NA,NA,"cEt92",12519,430
