Année,France,Allemagne
1996,2.23224,2.13663
1997,2.15216,2.18161
1998,2.10343,2.20748
1999,2.1165,2.32772
2000,2.10066,2.38654
2001,2.1494,2.3792
2002,2.18758,2.40856
2003,2.13086,2.44232
2004,2.10438,2.40278
2005,2.05599,2.40266
2006,2.05331,2.43043
2007,2.02815,2.41918
2008,2.06363,2.57152
2009,2.21273,2.68864
2010,2.17771,2.67632
2011,2.18761,2.75016
2012,2.22761,2.82499
2013,2.23369,2.78067
2014,2.27173,2.82218
2015,2.22401,2.87725
2016,2.22468,2.88393
2017,2.20422,2.9886
2018,2.20407,3.05057
2019,2.19668,3.11256
2020,2.2742,3.0897
2021,2.21278,3.0786
2022,2.21937,3.07096
2023,2.17832,3.1539
