"Année";"DIRD_PIB";"DIRDE_PIB";"PIB";"DIRD";"DIRDE";"DIRDA"
1990;2,27414749806843;1,37402163740359;1566,2398;35,618603225452;21,5204737456267;14,0981294798253
1991;2,27746689810892;1,40021525961684;1585,6089;36,111717830969;22,2019377756427;13,9097800553263
1992;2,28309001992072;1,42655901989685;1609,6477;36,7497059945834;22,9625744529122;13,7871315416712
1993;2,3188126631288;1,43065564971776;1603,8691;37,1907197908099;22,9458438932274;14,2448758975825
1994;2,26841245665825;1,40279200960786;1642,0999;37,2495986823727;23,0352461869787;14,214352495394
1995;2,24107814915048;1,36663457205405;1679,9469;37,6489228932309;22,9587351275503;14,6901877656806
1996;2,22281128769766;1,36801206772363;1703,4171;37,8637475753721;23,3029514916679;14,5607960837042
1997;2,14697275709577;1,34260201101969;1746,4635;37,4960955576213;23,4480540727249;14,0480414848964
1998;2,09475728902223;1,30421940741004;1806,7618;37,8472745007693;23,564138041271;14,2831364594983
1999;2,10767673638596;1,33155769561577;1868,1792;39,3751783924013;24,8758839054931;14,4992944869082
2000;2,09346097789441;1,3085767811793;1945,5405;40,7291311766318;25,4588912514397;15,2702399251921
2001;2,1380433623716;1,35107125211286;1982,4954;42,3866113090223;26,7849254238599;15,6016858851624
2002;2,17449832444174;1,37537927572805;2003,6635;43,5696292349507;27,5579725343273;16,0116567006234
2003;2,11993719130711;1,32744424670656;2023,0555;42,887505945284;26,8549338424306;16,0325721028534
2004;2,09461284410561;1,32178002944803;2081,0818;43,5906066791442;27,5073236288776;16,0832830502666
2005;2,05150582335969;1,2743114102967;2120,3844;43,4998094436104;27,0203003513512;16,4795090922592
2006;2,05093783083741;1,29375613951457;2177,933;44,6680518272921;28,1771419020139;16,4909099252783
2007;2,02451299537437;1,27501934144105;2233,0452;45,2082902665836;28,471758203121;16,7365320634626
2008;2,06116919463155;1,29298676959215;2241,5346;46,2018206622075;28,9827458138303;17,2190748483772
2009;2,15644073450932;1,36467840171202;2178,2213;46,9720514009585;29,7257156225908;17,2463357783677
2010;2,17857321821551;1,37596958535831;2221,7928;48,4033829050405;30,5711931776808;17,8321897273597
2011;2,19161451129511;1,4016224836266;2275,9507;49,8800658111226;31,900236727457;17,9798290836657
2012;2,2270656841427;1,43821062641588;2280,1347;50,7800974559301;32,7931395519958;17,9869579039343
2013;2,23702482433075;1,44482445865721;2297,9598;51,4059311791413;33,2014852405103;18,2044459386309
2014;2,27591655673992;1,44818934004414;2320,8896;52,8215106700549;33,6108757813931;19,2106348886618
2015;2,22701683622691;1,44032204648586;2345,6478;52,2379714245861;33,7848823963106;18,4530890282756
2016;2,22238376875283;1,44690034769702;2365,8211;52,5776241241297;34,2310737217895;18,3465504023402
2017;2,19888014136081;1,43733695174474;2415,1157;53,1054995181871;34,7133503834886;18,3921491346985
2018;2,20002462209265;1,43963774961854;2454,8663;54,0076630394548;35,3411819574639;18,6664810819909
2019;2,19281199437159;1,44552292115103;2504,6374;54,9219893227168;36,2051077087213;18,7168816139956
2020;2,28;1,5;2318,2762;52,85669736;34,774143;18,08255436
2021;2,22;1,46;2477,8278;55,00777716;36,17628588;18,83149128
2022;2,22;1,47;2545,1445;56,5022079;37,41362415;19,08858375
2023;2,19;1,44;2586,7064;56,64887016;37,24857216;19,400298
