ticker,company_name,country,annual_year,annual_billion
AMZN,amazon,United States,2025,108.521
AMZN,amazon,United States,2024,88.544
AMZN,amazon,United States,2023,85.622
AMZN,amazon,United States,2022,73.213
AMZN,amazon,United States,2021,56.052
AMZN,amazon,United States,2020,42.740
AMZN,amazon,United States,2019,35.931
AMZN,amazon,United States,2018,28.837
AMZN,amazon,United States,2017,22.620
AMZN,amazon,United States,2016,16.085
AMZN,amazon,United States,2015,12.540
AMZN,amazon,United States,2014,9.275
AMZN,amazon,United States,2013,6.565
AMZN,amazon,United States,2012,4.564
AMZN,amazon,United States,2011,2.909
GOOG,alphabet,United States,2025,61.087
GOOG,alphabet,United States,2024,49.326
GOOG,alphabet,United States,2023,45.427
GOOG,alphabet,United States,2022,39.500
GOOG,alphabet,United States,2021,31.562
GOOG,alphabet,United States,2020,27.573
GOOG,alphabet,United States,2019,26.018
GOOG,alphabet,United States,2018,21.419
GOOG,alphabet,United States,2017,16.625
GOOG,alphabet,United States,2016,13.948
GOOG,alphabet,United States,2015,12.282
GOOG,alphabet,United States,2014,9.832
GOOG,alphabet,United States,2013,7.137
GOOG,alphabet,United States,2012,6.083
GOOG,alphabet,United States,2011,5.162
META,meta-platforms,United States,2025,57.372
META,meta-platforms,United States,2024,43.873
META,meta-platforms,United States,2023,38.483
META,meta-platforms,United States,2022,35.338
META,meta-platforms,United States,2021,24.655
META,meta-platforms,United States,2020,18.447
META,meta-platforms,United States,2019,13.600
META,meta-platforms,United States,2018,10.273
META,meta-platforms,United States,2017,7.754
META,meta-platforms,United States,2016,5.919
META,meta-platforms,United States,2015,4.816
META,meta-platforms,United States,2014,2.666
META,meta-platforms,United States,2013,1.415
META,meta-platforms,United States,2012,1.399
META,meta-platforms,United States,2011,0.388
AAPL,apple,United States,2025,34.550
AAPL,apple,United States,2024,31.370
AAPL,apple,United States,2023,29.915
AAPL,apple,United States,2022,26.251
AAPL,apple,United States,2021,21.914
AAPL,apple,United States,2020,18.752
AAPL,apple,United States,2019,16.217
AAPL,apple,United States,2018,14.236
AAPL,apple,United States,2017,11.581
AAPL,apple,United States,2016,10.045
AAPL,apple,United States,2015,8.067
AAPL,apple,United States,2014,6.041
AAPL,apple,United States,2013,4.475
AAPL,apple,United States,2012,3.381
AAPL,apple,United States,2011,2.429
MSFT,microsoft,United States,2025,32.488
MSFT,microsoft,United States,2024,29.510
MSFT,microsoft,United States,2023,27.195
MSFT,microsoft,United States,2022,24.512
MSFT,microsoft,United States,2021,20.716
MSFT,microsoft,United States,2020,19.269
MSFT,microsoft,United States,2019,16.876
MSFT,microsoft,United States,2018,14.726
MSFT,microsoft,United States,2017,13.037
MSFT,microsoft,United States,2016,11.988
MSFT,microsoft,United States,2015,12.046
MSFT,microsoft,United States,2014,11.381
MSFT,microsoft,United States,2013,10.411
MSFT,microsoft,United States,2012,9.811
MSFT,microsoft,United States,2011,9.043
VWAGY,volkswagen-group,Germany,2014,0.000
VWAGY,volkswagen-group,Germany,2013,0.000
VWAGY,volkswagen-group,Germany,2012,0.000
VWAGY,volkswagen-group,Germany,2011,0.000
INTC,intel,United States,2025,13.774
INTC,intel,United States,2024,16.546
INTC,intel,United States,2023,16.046
INTC,intel,United States,2022,17.528
INTC,intel,United States,2021,15.190
INTC,intel,United States,2020,13.556
INTC,intel,United States,2019,13.362
INTC,intel,United States,2018,13.543
INTC,intel,United States,2017,13.035
INTC,intel,United States,2016,12.685
INTC,intel,United States,2015,12.128
INTC,intel,United States,2014,11.537
INTC,intel,United States,2013,10.611
INTC,intel,United States,2012,10.148
INTC,intel,United States,2011,8.350
JNJ,johnson-johnson,United States,2025,14.665
