Academie;Annee;Solde.mutation.PR;Solde.mutation.MCF;Solde.mutation.total
Aix-Marseille;2004;2;2;4
Amiens;2004;;-2;-2
Antilles-Guyane;2004;-2;0;-2
Besançon;2004;-3;-1;-4
Bordeaux;2004;2;1;3
Caen;2004;-4;-2;-6
Clermont-Ferrand;2004;-1;-2;-3
Corse;2004;0;0;0
Créteil;2004;1;1;2
Dijon;2004;-3;-2;-5
Grenoble;2004;-3;2;-1
La Réunion;2004;2;-3;-1
Lille;2004;-12;-5;-17
Limoges;2004;0;-1;-1
Lyon;2004;7;-1;6
Montpellier;2004;-2;8;6
Nancy-Metz;2004;-9;-9;-18
Nantes;2004;-9;0;-9
Nice;2004;1;-2;-1
Orléans-Tours;2004;-4;-2;-6
Pacifique;2004;;1;1
Paris;2004;36;18;54
Poitiers;2004;-4;1;-3
Reims;2004;-1;-4;-5
Rennes;2004;1;-3;-2
Rouen;2004;-6;-4;-10
Strasbourg;2004;;-4;-4
Toulouse;2004;-1;3;2
Versailles;2004;12;9;21
Aix-Marseille;2005;0;-2;-2
Amiens;2005;-5;-4;-9
Antilles-Guyane;2005;0;-3;-3
Besançon;2005;-3;-4;-7
Bordeaux;2005;1;7;8
Caen;2005;0;0;0
Clermont-Ferrand;2005;-1;1;0
Corse;2005;-1;-3;-4
Créteil;2005;2;3;5
Dijon;2005;2;-3;-1
Grenoble;2005;-3;3;0
La Réunion;2005;-1;-3;-4
Lille;2005;-12;-5;-17
Limoges;2005;-3;0;-3
Lyon;2005;-6;2;-4
Montpellier;2005;6;8;14
Nancy-Metz;2005;-4;-3;-7
Nantes;2005;-3;-1;-4
Nice;2005;2;4;6
Orléans-Tours;2005;2;-2;0
Pacifique;2005;0;0;0
Paris;2005;30;24;54
Poitiers;2005;-2;2;0
Reims;2005;0;-6;-6
Rennes;2005;-10;-5;-15
Rouen;2005;-4;-5;-9
Strasbourg;2005;4;-8;-4
Toulouse;2005;5;8;13
Versailles;2005;4;-5;-1
Aix-Marseille;2006;5;5;10
Amiens;2006;0;-8;-8
Antilles-Guyane;2006;0;-2;-2
Besançon;2006;-2;-1;-3
Bordeaux;2006;0;1;1
Caen;2006;-4;0;-4
Clermont-Ferrand;2006;-6;-3;-9
Corse;2006;1;-1;0
Créteil;2006;6;2;8
Dijon;2006;1;-1;0
Grenoble;2006;-6;6;0
La Réunion;2006;1;-2;-1
Lille;2006;-9;-10;-19
Limoges;2006;-2;0;-2
Lyon;2006;1;3;4
Montpellier;2006;-5;4;-1
Nancy-Metz;2006;-7;-7;-14
Nantes;2006;1;4;5
Nice;2006;-3;-3;-6
Orléans-Tours;2006;-4;-1;-5
Pacifique;2006;0;0;0
Paris;2006;33;21;54
Poitiers;2006;-2;0;-2
Reims;2006;-2;-2;-4
Rennes;2006;-5;1;-4
Rouen;2006;-2;-2;-4
Strasbourg;2006;2;-5;-3
Toulouse;2006;6;4;10
Versailles;2006;2;-3;-1
Aix-Marseille;2007;4;-2;2
Amiens;2007;-1;-2;-3
Antilles-Guyane;2007;-1;1;0
Besançon;2007;-1;-1;-2
Bordeaux;2007;2;5;7
Caen;2007;-1;-5;-6
Clermont-Ferrand;2007;-5;-3;-8
Corse;2007;-1;1;0
Créteil;2007;1;-7;-6
Dijon;2007;-5;-1;-6
Grenoble;2007;-2;0;-2
La Réunion;2007;1;-2;-1
Lille;2007;-11;-7;-18
Limoges;2007;1;-3;-2
Lyon;2007;0;-3;-3
Montpellier;2007;-2;2;0
Nancy-Metz;2007;-4;3;-1
Nantes;2007;-6;-4;-10
Nice;2007;3;3;6
Orléans-Tours;2007;-1;1;0
Pacifique;2007;-1;-1;-2
Paris;2007;43;19;62
Poitiers;2007;-5;2;-3
Reims;2007;-1;1;0
Rennes;2007;-8;-6;-14
Rouen;2007;-5;1;-4
Strasbourg;2007;-1;3;2
Toulouse;2007;-4;6;2
Versailles;2007;11;-1;10
Aix-Marseille;2008;;4;4
Amiens;2008;-4;-5;-9
Antilles-Guyane;2008;1;-2;-1
Besançon;2008;-6;-1;-7
Bordeaux;2008;-1;4;3
Caen;2008;6;;6
Clermont-Ferrand;2008;-2;3;1
Corse;2008;;;0
Créteil;2008;3;2;5
Dijon;2008;2;-1;1
Grenoble;2008;-3;5;2
La Réunion;2008;-1;-2;-3
Lille;2008;-10;-6;-16
Limoges;2008;-4;-1;-5
Lyon;2008;2;5;7
Montpellier;2008;-2;6;4
Nancy-Metz;2008;-2;-4;-6
Nantes;2008;-3;-1;-4
Nice;2008;-2;-2;-4
Orléans-Tours;2008;-6;-10;-16
Pacifique;2008;1;2;3
Paris;2008;34;14;48
Poitiers;2008;-3;1;-2
Reims;2008;-1;;-1
Rennes;2008;-5;-1;-6
Rouen;2008;-8;-4;-12
Strasbourg;2008;-1;-1;-2
Toulouse;2008;2;-2;0
Versailles;2008;13;-3;10
Aix-Marseille;2009;4;-2;2
Amiens;2009;-1;-1;-2
Antilles-Guyane;2009;-3;-3;-6
Besançon;2009;-2;-3;-5
Bordeaux;2009;2;4;6
Caen;2009;3;-3;0
Clermont-Ferrand;2009;-5;-1;-6
Corse;2009;-1;0;-1
Créteil;2009;-4;5;1
Dijon;2009;-3;1;-2
Grenoble;2009;-4;-3;-7
