Etablissement,Typologie,PerimEx,Indicateur,Valeur100,Valeur,Rentrée.référence,Rentrée,Rang,Rang_Valeur100,Rang_Typologie
Aix-Marseille Université,Université pluridisciplinaire avec santé,IDEx,SCSP,113.6302697874374,556890104,2014,2024,1,49,1
Aix-Marseille Université,Université pluridisciplinaire avec santé,IDEx,SCSP/E-EC,104.07234080874552,127289.16662857143,2014,2024,55,47,29
Aix-Marseille Université,Université pluridisciplinaire avec santé,IDEx,SCSP/Etudiant,103.93922862932476,8352.933913304334,2014,2024,21,38,10
Aix-Marseille Université,Université pluridisciplinaire avec santé,IDEx,SCSP/Etudiant(hors doc.),103.12880998741703,8702.49568696087,2014,2024,17,36,8
Aix-Marseille Université,Université pluridisciplinaire avec santé,IDEx,Ressources/Etudiant(hors doc.),108.98419523238513,11335.208260407551,2014,2024,22,38,11
Avignon Université,Université pluridisciplinaire hors santé,NINI,SCSP,121.38397468709425,56647920,2014,2024,62,15,15
Avignon Université,Université pluridisciplinaire hors santé,NINI,SCSP/E-EC,116.91193351441184,149073.47368421053,2014,2024,14,17,7
Avignon Université,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant,126.20448660050518,9034.755980861244,2014,2024,14,7,6
Avignon Université,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant(hors doc.),125.57305199474504,9265.279685966634,2014,2024,14,7,6
Avignon Université,Université pluridisciplinaire hors santé,NINI,Ressources/Etudiant(hors doc.),135.32330051573032,11338.903663722604,2014,2024,21,13,8
La Rochelle Université,Université pluridisciplinaire hors santé,NINI,SCSP,120.85999791963657,68971117,2014,2024,58,21,12
La Rochelle Université,Université pluridisciplinaire hors santé,NINI,SCSP/E-EC,116.46508890437705,139335.58989898989,2014,2024,35,18,13
La Rochelle Université,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant,120.24103836155756,9295.298787061995,2014,2024,11,15,5
La Rochelle Université,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant(hors doc.),120.69187996453901,9593.979273890667,2014,2024,9,15,4
La Rochelle Université,Université pluridisciplinaire hors santé,NINI,Ressources/Etudiant(hors doc.),147.91795219451703,13969.778133259146,2014,2024,7,4,3
Le Mans Université,Université pluridisciplinaire hors santé,NINI,SCSP,121.26830545859349,84290126,2014,2024,51,18,6
Le Mans Université,Université pluridisciplinaire hors santé,NINI,SCSP/E-EC,106.39744756294114,123051.27883211679,2014,2024,61,41,16
Le Mans Université,Université pluridisciplinaire hors santé,NINI,SCSP/Etudiant,100.8499537103319,7638.434617127322,2014,2024,29,43,13
