"Rentrée";"Niveau";"Etudiants"
2012;"L-03";164473
2012;"M-01";161550
2013;"L-03";164969
2013;"M-01";171701
2014;"L-03";166088
2014;"M-01";170902
2015;"L-03";170605
2015;"M-01";175653
2016;"L-03";174213
2016;"M-01";178318
2017;"L-03";180619
2017;"M-01";170026
2018;"L-03";183370
2018;"M-01";168098
2019;"L-03";187756
2019;"M-01";166794
2020;"L-03";207486
2020;"M-01";162915
2021;"L-03";207917
2021;"M-01";161522
2022;"L-03";192506
2022;"M-01";151522
2023;"L-03";222327
2023;"M-01";155259
2024;"L-03";225345
2024;"M-01";160315
