"Rentrée","Code.CNU","Section.CNU","Enseignants"
"2010",0,"Sans discipline",1100
"2010",1,"Droit privé et sciences criminelles",1775
"2010",2,"Droit public",1304
"2010",3,"Histoire du droit et des institutions",269
"2010",4,"Science politique",348
"2010",5,"Sciences économiques",1808
"2010",6,"Sciences de gestion et du management",1932
"2010",7,"Sciences du langage",745
"2010",8,"Langues et littératures anciennes",353
"2010",9,"Langue et littérature française",1066
"2010",10,"Littératures comparées",225
"2010",11,"Etudes anglophones",1754
"2010",12,"Etudes germaniques et scandinaves",486
"2010",13,"Etudes slaves et baltes",141
"2010",14,"Etudes romanes",1007
"2010",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",411
"2010",16,"Psychologie et ergonomie",1298
"2010",17,"Philosophie",401
"2010",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",622
"2010",19,"Sociologie, démographie",866
"2010",20,"Ethnologie, préhistoire, anthropologie biologique",194
"2010",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",785
"2010",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1088
"2010",23,"Géographie physique, humaine, économique et régionale",869
"2010",24,"Aménagement de l'espace, urbanisme",245
"2010",25,"Mathématiques",1438
"2010",26,"Mathématiques appliquées et applications des mathématiques",1775
"2010",27,"Informatique",3317
"2010",28,"Milieux denses et matériaux",1413
"2010",29,"Constituants élémentaires",414
"2010",30,"Milieux dilués et optique",644
"2010",31,"Chimie théorique, physique, analytique",1011
"2010",32,"Chimie organique, minérale, industrielle",1324
"2010",33,"Chimie des matériaux",895
"2010",34,"Astronomie, astrophysique",191
"2010",35,"Structure et évolution de la terre et des autres planètes",534
"2010",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",400
"2010",37,"Météorologie, océanographie physique et physique de l'environnement",182
"2010",42,"Morphologie et morphogenèse",438
"2010",43,"Biophysique et imagerie Médecine",378
"2010",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",665
"2010",45,"Microbiologie, maladies transmissibles et hygiène",425
"2010",46,"Santé publique, environnement et société",317
"2010",47,"Cancérologie, génétique, hématologie, immunologie",632
"2010",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",466
"2010",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",369
"2010",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",288
"2010",51,"Pathologie cardiorespiratoire et vasculaire",417
"2010",52,"Maladies des appareils digestif et urinaire",365
"2010",53,"Médecine interne, gériatrie et chirurgie générale",256
"2010",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",537
"2010",55,"Pathologie de la tête et du cou",209
"2010",56,"Développement, croissance et prévention",139
"2010",57,"Chirurgie orale - parondontologie - biologie orale",155
"2010",58,"Réhabilitation orale",243
"2010",60,"Mécanique, génie mécanique, génie civil",2285
"2010",61,"Génie informatique, automatique et traitement du signal",1712
"2010",62,"Energétique, génie des procédés",1052
"2010",63,"Génie électrique, électronique, photonique et systèmes",1716
"2010",64,"Biochimie et biologie moléculaire",1073
"2010",65,"Biologie cellulaire",978
"2010",66,"Physiologie",774
"2010",67,"Biologie des populations et écologie",676
"2010",68,"Biologie des organismes",506
"2010",69,"Neurosciences",388
"2010",70,"Sciences de l'éducation et de la formation",627
"2010",71,"Sciences de l'information et de la communication",768
"2010",72,"Epistémologie, histoire des sciences et des techniques",87
"2010",73,"Cultures et langues régionales",56
"2010",74,"Sciences et techniques des activités physiques et sportives",745
"2010",76,"Théologie catholique",33
"2010",77,"Théologie protestante",23
"2010",85,"Sciences physico-chimiques et ingénierie appliquée à la santé",524
"2010",86,"Sciences du médicament et des autres produits de santé",709
"2010",87,"Sciences biologiques, fondamentales et cliniques",579
"2010",99,"Non spécifiée",12891
"2011",0,"Sans discipline",1094
"2011",1,"Droit privé et sciences criminelles",1791
"2011",2,"Droit public",1299
"2011",3,"Histoire du droit et des institutions",275
"2011",4,"Science politique",349
"2011",5,"Sciences économiques",1815
"2011",6,"Sciences de gestion et du management",1958
"2011",7,"Sciences du langage",749
"2011",8,"Langues et littératures anciennes",348
"2011",9,"Langue et littérature française",1059
"2011",10,"Littératures comparées",217
"2011",11,"Etudes anglophones",1745
"2011",12,"Etudes germaniques et scandinaves",477
"2011",13,"Etudes slaves et baltes",138
"2011",14,"Etudes romanes",1022
"2011",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",413
"2011",16,"Psychologie et ergonomie",1293
"2011",17,"Philosophie",401
"2011",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",651
"2011",19,"Sociologie, démographie",878
"2011",20,"Ethnologie, préhistoire, anthropologie biologique",200
"2011",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",777
"2011",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1076
"2011",23,"Géographie physique, humaine, économique et régionale",870
"2011",24,"Aménagement de l'espace, urbanisme",255
"2011",25,"Mathématiques",1429
"2011",26,"Mathématiques appliquées et applications des mathématiques",1794
"2011",27,"Informatique",3346
"2011",28,"Milieux denses et matériaux",1395
"2011",29,"Constituants élémentaires",408
"2011",30,"Milieux dilués et optique",628
"2011",31,"Chimie théorique, physique, analytique",1022
"2011",32,"Chimie organique, minérale, industrielle",1325
"2011",33,"Chimie des matériaux",889
"2011",34,"Astronomie, astrophysique",196
"2011",35,"Structure et évolution de la terre et des autres planètes",538
"2011",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",402
"2011",37,"Météorologie, océanographie physique et physique de l'environnement",188
"2011",42,"Morphologie et morphogenèse",416
"2011",43,"Biophysique et imagerie Médecine",373
"2011",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",660
"2011",45,"Microbiologie, maladies transmissibles et hygiène",414
"2011",46,"Santé publique, environnement et société",316
"2011",47,"Cancérologie, génétique, hématologie, immunologie",628
"2011",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",467
"2011",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",371
"2011",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",295
"2011",51,"Pathologie cardiorespiratoire et vasculaire",417
"2011",52,"Maladies des appareils digestif et urinaire",369
"2011",53,"Médecine interne, gériatrie et chirurgie générale",262
"2011",54,"Développement et pathologie de l'enfant, gynécologie-obstétrique, endocrinologie et reproduction",554
"2011",55,"Pathologie de la tête et du cou",213
"2011",56,"Développement, croissance et prévention",136
"2011",57,"Chirurgie orale - parondontologie - biologie orale",156
"2011",58,"Réhabilitation orale",238
"2011",60,"Mécanique, génie mécanique, génie civil",2311
"2011",61,"Génie informatique, automatique et traitement du signal",1730
"2011",62,"Energétique, génie des procédés",1067
"2011",63,"Génie électrique, électronique, photonique et systèmes",1729
"2011",64,"Biochimie et biologie moléculaire",1075
"2011",65,"Biologie cellulaire",986
"2011",66,"Physiologie",775
"2011",67,"Biologie des populations et écologie",688
"2011",68,"Biologie des organismes",505
"2011",69,"Neurosciences",397
"2011",70,"Sciences de l'éducation et de la formation",641
"2011",71,"Sciences de l'information et de la communication",781
"2011",72,"Epistémologie, histoire des sciences et des techniques",88
"2011",73,"Cultures et langues régionales",57
"2011",74,"Sciences et techniques des activités physiques et sportives",769
"2011",76,"Théologie catholique",31
"2011",77,"Théologie protestante",24
"2011",85,"Sciences physico-chimiques et ingénierie appliquée à la santé",514
"2011",86,"Sciences du médicament et des autres produits de santé",696
"2011",87,"Sciences biologiques, fondamentales et cliniques",587
"2011",99,"Non spécifiée",13139
"2012",0,"Sans discipline",1098
"2012",1,"Droit privé et sciences criminelles",1807
"2012",2,"Droit public",1312
"2012",3,"Histoire du droit et des institutions",276
"2012",4,"Science politique",360
"2012",5,"Sciences économiques",1810
"2012",6,"Sciences de gestion et du management",1994
"2012",7,"Sciences du langage",766
"2012",8,"Langues et littératures anciennes",339
"2012",9,"Langue et littérature française",1036
"2012",10,"Littératures comparées",216
"2012",11,"Etudes anglophones",1745
"2012",12,"Etudes germaniques et scandinaves",464
"2012",13,"Etudes slaves et baltes",133
"2012",14,"Etudes romanes",1012
"2012",15,"Langues, littératures et cultures africaines, asiatiques et d'autres aires",421
"2012",16,"Psychologie et ergonomie",1299
"2012",17,"Philosophie",398
"2012",18,"Architecture (ses théories et ses pratiques), arts appliqués, arts plastiques, arts du spectacle, épistémologie des enseignements artistiques, esthétique, musicologie, musique, sciences de l'art",665
"2012",19,"Sociologie, démographie",877
"2012",20,"Ethnologie, préhistoire, anthropologie biologique",202
"2012",21,"Histoire, civilisations, archéologie et art des mondes anciens et médiévaux",792
"2012",22,"Histoire et civilisations : histoire des mondes modernes, histoire du monde contemporain , de l'art , de la musique",1079
"2012",23,"Géographie physique, humaine, économique et régionale",879
"2012",24,"Aménagement de l'espace, urbanisme",258
"2012",25,"Mathématiques",1417
"2012",26,"Mathématiques appliquées et applications des mathématiques",1787
"2012",27,"Informatique",3397
"2012",28,"Milieux denses et matériaux",1394
"2012",29,"Constituants élémentaires",411
"2012",30,"Milieux dilués et optique",624
"2012",31,"Chimie théorique, physique, analytique",1024
"2012",32,"Chimie organique, minérale, industrielle",1302
"2012",33,"Chimie des matériaux",893
"2012",34,"Astronomie, astrophysique",191
"2012",35,"Structure et évolution de la terre et des autres planètes",537
"2012",36,"Terre solide : géodynamique des enveloppes supérieure, paléo-biosphère",397
"2012",37,"Météorologie, océanographie physique et physique de l'environnement",185
"2012",42,"Morphologie et morphogenèse",403
"2012",43,"Biophysique et imagerie Médecine",364
"2012",44,"Biochimie, biologie cellulaire et moléculaire, physiologie et nutrition",641
"2012",45,"Microbiologie, maladies transmissibles et hygiène",416
"2012",46,"Santé publique, environnement et société",310
"2012",47,"Cancérologie, génétique, hématologie, immunologie",612
"2012",48,"Anesthésiologie, réanimation, médecine d'urgence, pharmacologie et thérapeutique",474
"2012",49,"Pathologie nerveuse et musculaire, pathologie mentale, handicap et rééducation",372
"2012",50,"Pathologie ostéo-articulaire, dermatologie et chirurgie plastique",307
"2012",51,"Pathologie cardiorespiratoire et vasculaire",415
