"siren";"siret";"Etablissement";"Secteur";"dataset"
"130000383";"13000038300013";"Institut national supérieur de formation et de recherche pour l'éducation inclusive";"public";"etab.24"
"130002140";"13000214000015";"École nationale supérieure d'informatique pour l'industrie et l'entreprise";"public";"etab.24"
"130002884";"13000288400018";"École nationale des travaux publics de l'État";"public";"etab.24"
"130003221";"13000322100012";"Université de la Nouvelle-Calédonie";"public";"etab.24"
"130003759";"13000375900011";"Université de Nîmes";"public";"etab.24"
"130004278";"13000427800011";"Institut supérieur de l'aéronautique et de l'espace";"public";"etab.24"
"130005457";"13000545700010";"Université de Strasbourg";"public";"etab.24"
"130006356";"13000635600013";"Bordeaux INP";"public";"etab.24"
"130008121";"13000812100019";"École normale supérieure de Lyon";"public";"etab.24"
"130008535";"13000853500010";"École nationale vétérinaire, agroalimentaire et de l'alimentation, Nantes-Atlantique";"public";"etab.24"
"130008584";"13000858400018";"Vet Agro Sup";"public";"etab.24"
"130010804";"13001080400016";"Institut national du sport, de l'expertise et de la performance";"public";"etab.24"
"130013097";"13001309700071,13001309700063";"École nationale supérieure maritime";"public";"etab.24"
"130015332";"13001533200013";"Aix-Marseille Université";"public";"etab.24"
"130015506";"13001550600012";"Université de Lorraine";"public";"etab.24"
"130016314";"13001631400010";"Université de Mayotte";"public";"etab.24"
"130017270";"13001727000146";"ESIEE Paris";"privé";"etab.24"
"130018336";"13001833600011";"Institut national des sciences appliquées Centre Val de Loire";"public";"etab.24"
"130018351";"13001835100010";"Université de Bordeaux";"public";"etab.24"
"130020597";"13002059700014";"Université de Guyane";"public";"etab.24"
"130023385";"13002338500011";"Sorbonne Université";"public";"etab.24"
"130024540";"13002454000010";"Ecole de l'air et de l'espace";"public";"etab.24"
"130025620";"13002562000019";"Institut polytechnique de Paris";"public";"etab.24"
"130025661";"13002566100013";"Université Côte d'Azur";"public";"etab.24"
"130025737";"13002573700011";"Université Paris Cité";"public";"etab.24"
"130025745";"13002574500014";"Université Polytechnique Hauts-de-France";"public";"etab.24"
"130025976";"13002597600015";"CY Cergy Paris Université";"public";"etab.24"
"130026024";"13002602400054,13002602400013";"Université Paris-Saclay";"public";"etab.24"
"130026081";"13002608100013";"Université Grenoble Alpes";"public";"etab.24"
"130026123";"13002612300013";"Université Gustave Eiffel";"public";"etab.24"
"130026149";"13002614900018";"Université Paris sciences et lettres";"public";"etab.24"
"130026222";"13002622200013";"Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement";"public";"etab.24"
"130028061";"13002806100013";"Université Clermont Auvergne";"public";"etab.24"
"130029747";"13002974700016";"Nantes Université";"public";"etab.24"
"130029754";"13002975400012";"Université de Lille";"public";"etab.24"
"130029796";"13002979600013";"Université de Montpellier";"public";"etab.24"
"130029952";"13002995200012";"Université Paris-Panthéon-Assas";"public";"etab.24"
"130030513";"13003051300019";"Université de Rennes";"public";"etab.24"
"130030612";"13003061200019";"Université Toulouse Capitole";"public";"etab.24"
"150000966";"15000096600013";"École navale";"public";"etab.24"
"180044083";"18004408300012";"École française d'Athènes";"public";"etab.24"
"180044091";"18004409100015";"École française de Rome";"public";"etab.24"
"180044117";"18004411700018";"École française d'Extrême-Orient";"public";"etab.24"
"180044125";"18004412500011";"Casa de Velázquez de Madrid";"public";"etab.24"
"180044174";"18004417400019";"Muséum national d'histoire naturelle";"public";"etab.24"
"180046195";"18004619500012";"Institut français d'archéologie orientale du Caire";"public";"etab.24"
"180060030";"18006003000400";"École nationale de la météorologie";"public";"etab.24"
"180067019";"18006701900372";"École nationale des sciences géographiques";"public";"etab.24"
"180092025";"18009202500154,18009202500089";"Institut Mines-Télécom, au périmètre des écoles IMT Atlantique, Lille Douai, Albi, Alès, Mines Saint-Étienne et Institut Mines-Télécom Business school";"public";"etab.24"
"180092215";"18009221500011";"École nationale supérieure d'architecture de Paris-Malaquais";"public";"etab.24"
"181300021";"18130002100340";"Institut supérieur du bâtiment et des travaux publics";"privé";"etab.24"
"191010602";"19101060200032";"Université de technologie de Troyes";"public";"etab.24"
"191333400";"19133340000015";"Centrale Méditerranée";"public";"etab.24"
"191333467";"19133346700014";"Sciences Po Aix";"public";"etab.24"
"191414085";"19141408500016";"Université de Caen Normandie";"public";"etab.24"
"191417203";"19141720300012";"École nationale supérieure d'ingénieurs de Caen";"public";"etab.24"
"191700327";"19170032700015";"La Rochelle Université";"public";"etab.24"
"192026649";"19202664900264,19202664900017";"Université de Corse Pasquale Paoli";"public";"etab.24"
"192112373";"19211237300019";"Université de Bourgogne";"public";"etab.24"
"192500825";"19250082500026";"École nationale supérieure de mécanique et des microtechniques";"public";"etab.24"
"192512150";"19251215000363";"Université de Franche-Comté";"public";"etab.24"
"192901197";"19290119700025";"École nationale d'ingénieurs de Brest";"public";"etab.24"
"192901254";"19290125400016";"École nationale supérieure de techniques avancées Bretagne";"public";"etab.24"
"192903466";"19290346600014";"Université de Bretagne Occidentale";"public";"etab.24"
"193101433";"19310143300012";"École nationale supérieure de formation de l’enseignement agricole";"public";"etab.24"
"193101508";"19310150800011";"École nationale supérieure d'architecture de Toulouse";"public";"etab.24"
"193101524";"19310152400018";"Institut national des sciences appliquées de Toulouse";"public";"etab.24"
"193101532";"19310153200011";"École nationale vétérinaire de Toulouse";"public";"etab.24"
"193112562";"19311256200015";"École nationale de l'aviation civile";"public";"etab.24"
"193113818";"19311381800127";"Toulouse INP";"public";"etab.24"
"193113834";"19311383400017";"Université Toulouse - Jean Jaurès";"public";"etab.24"
"193113842";"19311384200010";"Université Toulouse III - Paul Sabatier";"public";"etab.24"
"193113867";"19311386700025,19311386700017";"Sciences Po Toulouse";"public";"etab.24"
"193301926";"19330192600039";"Sciences Po Bordeaux";"public";"etab.24"
"193302031";"19330203100011";"École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine";"public";"etab.24"
"193317666";"19331766600017";"Université Bordeaux Montaigne";"public";"etab.24"
"193410891";"19341089100017";"Université Paul-Valéry - Montpellier 3";"public";"etab.24"
"193509379";"19350937900015";"Université Rennes 2";"public";"etab.24"
"193708005";"19370800500478";"Université de Tours";"public";"etab.24"
"194210951";"19421095100423";"Université Jean Monnet";"public";"etab.24"
"194508552";"19450855200016";"Université d'Orléans";"public";"etab.24"
"194909701";"19490970100303";"Université d'Angers";"public";"etab.24"
"195112966.1951";"19511296600799,19511296600435,19510000300019";"Université de Reims Champagne-Ardenne";"public";"etab.24"
"195617188";"19561718800600";"Université Bretagne Sud";"public";"etab.24"
"195903497";"19590349700012";"Centrale Lille Institut";"public";"etab.24"
"195944038";"19594403800205";"Université du Littoral Côte d’Opale";"public";"etab.24"
"196012231";"19601223100169";"Université de Technologie de Compiègne";"public";"etab.24"
"196244016";"19624401600016";"Université d'Artois";"public";"etab.24"
"196312870";"19631287000021";"École nationale supérieure d'architecture de Clermont-Ferrand";"public";"etab.24"
"196402515";"19640251500270";"Université de Pau et des Pays de l'Adour";"public";"etab.24"
"196500482";"19650048200019";"Université de technologie Tarbes Occitanie Pyrénées";"public";"etab.24"
"196604375";"19660437500010";"Université de Perpignan Via Domitia";"public";"etab.24"
"196701866";"19670186600010";"École nationale supérieure d'architecture de Strasbourg";"public";"etab.24"
"196701890";"19670189000028,19670189000010";"École nationale du génie de l'eau et de l'environnement de Strasbourg";"public";"etab.24"
"196727671";"19672767100014";"Institut national des sciences appliquées de Strasbourg";"public";"etab.24"
"196811665";"19681166500013";"Université de Haute-Alsace";"public";"etab.24"
"196901730";"19690173000024";"Sciences Po Lyon";"public";"etab.24"
"196901870";"19690187000010";"Centrale Lyon";"public";"etab.24"
"196901920";"19690192000013";"Institut national des sciences appliquées de Lyon";"public";"etab.24"
"196917744";"19691774400019";"Université Claude Bernard - Lyon 1";"public";"etab.24"
"196917751";"19691775100014";"Université Lumière - Lyon 2";"public";"etab.24"
"196924377";"19692437700282,19692437700019";"Université Jean Moulin - Lyon 3";"public";"etab.24"
"196924591";"19692459100015";"École nationale supérieure des sciences de l'information et des bibliothèques";"public";"etab.24"
"197209166";"19720916600010";"Le Mans Université";"public";"etab.24"
"197308588";"19730858800015";"Université Savoie Mont Blanc";"public";"etab.24"
"197500028";"19750002800034,19750002800026";"IAE Paris - Sorbonne Business School";"public";"etab.24"
"197506611";"19750661100049";"École nationale supérieure Louis Lumière";"public";"etab.24"
"197507734";"19750773400022";"École nationale supérieure des arts et techniques du théâtre";"public";"etab.24"
"197512346";"19751234600044";"Institut national du patrimoine";"public";"etab.24"
"197517170";"19751717000019";"Université Paris 1 - Panthéon Sorbonne";"public";"etab.24"
"197517196";"19751719600014";"Université Sorbonne Nouvelle - Paris 3";"public";"etab.24"
"197518756";"19751875600014";"École nationale supérieure d'architecture de Paris-La Villette";"public";"etab.24"
"197518772";"19751877200037";"École nationale supérieure d'architecture de Paris-Belleville";"public";"etab.24"
"197534316";"19753431600017";"Sciences Po";"public";"etab.24"
"197534639";"19753463900020";"Institut national du service public";"public";"etab.24"
"197534704";"19753470400014";"École nationale supérieure des arts décoratifs";"public";"etab.24"
"197534712";"19753471200017";"Conservatoire national des arts et métiers";"public";"etab.24"
"197534720";"19753472000010";"Arts et Métiers Sciences et Technologies";"public";"etab.24"
"197534803";"19753480300014";"Collège de France";"public";"etab.24"
"197534886";"19753488600092";"Institut national des langues et civilisations orientales";"public";"etab.24"
"197535016";"19753501600020";"École nationale des ponts et chaussées";"public";"etab.24"
"197537426";"19753742600011,19753742600037";"École des hautes études en sciences sociales";"public";"etab.24"
"197546880";"19754688000018";"Institut national d'histoire de l'art";"public";"etab.24"
"197601644";"19760164400028";"École nationale supérieure d'architecture de Normandie";"public";"etab.24"
"197601651";"19760165100023";"Institut national des sciences appliquées de Rouen Normandie";"public";"etab.24"
"197619042";"19761904200017";"Université de Rouen Normandie";"public";"etab.24"
"197627623";"19762762300097";"Université Le Havre Normandie";"public";"etab.24"
"197804123";"19780412300028";"École nationale supérieure d’architecture de Versailles";"public";"etab.24"
"197819444";"19781944400013";"Université de Versailles Saint-Quentin-en-Yvelines";"public";"etab.24"
"197820194";"19782019400029";"École nationale supérieure de paysage";"public";"etab.24"
"198013443";"19801344300017";"Université de Picardie Jules-Verne";"public";"etab.24"
"198112013";"19811201300018";"Institut national universitaire Jean-François Champollion";"public";"etab.24"
"198307662";"19830766200017";"Université de Toulon";"public";"etab.24"
"198406852";"19840685200204";"Avignon Université";"public";"etab.24"
"198600736";"19860073600021";"École nationale supérieure de mécanique et d'aérotechnique de Poitiers";"public";"etab.24"
"198608564";"19860856400375";"Université de Poitiers";"public";"etab.24"
"198706699";"19870669900321";"Université de Limoges";"public";"etab.24"
"199003567";"19900356700013";"Université de technologie de Belfort-Montbéliard";"public";"etab.24"
"199106857";"19910685700014";"Institut national des sciences et techniques nucléaires";"public";"etab.24"
"199119751";"19911975100014";"Université d'Évry-Val-d'Essonne";"public";"etab.24"
"199212044";"19921204400010";"Université Paris Nanterre";"public";"etab.24"
"199306036";"19930603600013";"ISAE-Supméca";"public";"etab.24"
"199312380";"19931238000017";"Université Sorbonne Paris Nord";"public";"etab.24"
"199318270";"19931827000014";"Université Paris 8 - Vincennes - Saint-Denis";"public";"etab.24"
"199406083";"19940608300014";"École nationale vétérinaire d'Alfort";"public";"etab.24"
"199411117";"19941111700013";"Université Paris-Est Créteil";"public";"etab.24"
"199513763";"19951376300011";"École nationale supérieure de l'électronique et de ses applications de Cergy";"public";"etab.24"
"199715855";"19971585500011";"Université des Antilles";"public";"etab.24"
"199744780";"19974478000016";"Université de La Réunion";"public";"etab.24"
"199870015";"19987001500013";"Université de la Polynésie Française";"public";"etab.24"
"200028132";"20002813200013";"École supérieure d'arts et médias de Caen - Cherbourg";"public";"etab.24"
"311349138";"31134913800017";"École supérieure d'informatique électronique automatique";"privé";"etab.24"
"312381015";"31238101500014";"Institut protestant de théologie";"privé";"etab.24"
"320140551";"32014055100021";"Institut textile et chimique";"privé";"etab.24"
"325002111";"32500211100012";"École spéciale des travaux publics, du bâtiment et de l'industrie";"privé";"etab.24"
"326930062";"32693006200145,32693006200012";"Institut catholique de Lyon";"privé";"etab.24"
"329491476";"32949147600019";"Institut des relations publiques et de la communication d’Angers";"privé";"etab.24"
"331118760";"33111876000015";"École nationale supérieure de création industrielle - Les Ateliers";"public";"etab.24"
"333452985";"33345298500034";"Institut français de la mode";"privé";"etab.24"
"342382637";"34238263700011";"École supérieure d’agriculture";"privé";"etab.24"
"343592721";"34359272100025,34359272100017";"ISMANS";"privé";"etab.24"
"348768508";"34876850800015";"Excelia Group";"privé";"etab.24"
"353408776";"35340877600022";"EIGSI La Rochelle";"privé";"etab.24"
"378327514";"37832751400014";"Rennes School of Business";"privé";"etab.24"
