"siren";"siret";"Etablissement"
"130000383";"13000038300013";"Institut national supérieur de formation et de recherche pour l'éducation inclusive"
"130002140";"13000214000015";"École nationale supérieure d'informatique pour l'industrie et l'entreprise"
"130002884";"13000288400018";"École nationale des travaux publics de l'État"
"130003221";"13000322100012";"Université de la Nouvelle-Calédonie"
"130003627";"13000362700010";"École des hautes études en santé publique"
"130003759";"13000375900011";"Université de Nîmes"
"130004278";"13000427800011";"Institut supérieur de l'aéronautique et de l'espace"
"130005457";"13000545700010";"Université de Strasbourg"
"130006042";"13000604200019";"Agrosup Dijon"
"130006356";"13000635600013";"Bordeaux INP"
"130008121";"13000812100019";"École normale supérieure de Lyon"
"130008535";"13000853500010";"École nationale vétérinaire, agroalimentaire et de l'alimentation, Nantes-Atlantique"
"130008584";"13000858400018";"Vet Agro Sup"
"130010804";"13001080400016";"Institut national du sport, de l'expertise et de la performance"
"130013097";"13001309700063";"École nationale supérieure maritime"
"130013097";"13001309700071";"École nationale supérieure maritime"
"130013097";"13001309700071,13001309700063";"École nationale supérieure maritime"
"130014228";"13001422800055";"École nationale de la statistique et de l'analyse de l'information"
"130015332";"13001533200013";"Aix-Marseille Université"
"130015506";"13001550600012";"Université de Lorraine"
"130016314";"13001631400010";"Université de Mayotte"
"130017270";"13001727000146";"ESIEE Paris"
"130017270";"13001727000302";"Institut supérieur international du parfum, de la cosmétique et de l'aromatique alimentaire"
"130018336";"13001833600011";"Institut national des sciences appliquées Centre Val de Loire"
"130018351";"13001835100010";"Université de Bordeaux"
"130018484";"13001848400019";"École normale supérieure de Rennes"
"130020548";"13002054800017";"Université de Montpellier"
"130020597";"13002059700014";"Université de Guyane"
"130021918";"13002191800011";"SIGMA Clermont"
"130022775";"13002277500014";"Université Clermont Auvergne"
"130023385";"13002338500011";"Sorbonne Université"
"130023583";"13002358300011";"Université de Lille"
"130024540";"13002454000010";"Ecole de l'air et de l'espace"
"130025620";"13002562000019";"Institut polytechnique de Paris"
"130025661";"13002566100013";"Université Côte d'Azur"
"130025737";"13002573700011";"Université Paris Cité"
"130025745";"13002574500014";"Université Polytechnique Hauts-de-France"
"130025976";"13002597600015";"CY Cergy Paris Université"
"130026024";"13002602400054";"Université Paris-Saclay"
"130026024";"13002602400054,13002602400013";"Université Paris-Saclay"
"130026081";"13002608100013";"Université Grenoble Alpes"
"130026123";"13002612300013";"Université Gustave Eiffel"
"130026149";"13002614900018";"Université Paris sciences et lettres"
"130026222";"13002622200013";"Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement"
"130028061";"13002806100013";"Université Clermont Auvergne"
"130029747";"13002974700016";"Nantes Université"
"130029754";"13002975400012";"Université de Lille"
"130029796";"13002979600013";"Université de Montpellier"
"130029952";"13002995200012";"Université Paris-Panthéon-Assas"
"130030513";"13003051300019";"Université de Rennes"
"130030612";"13003061200019";"Université Toulouse Capitole"
"150000966";"15000096600013";"École navale"
"180044083";"18004408300012";"École française d'Athènes"
"180044091";"18004409100015";"École française de Rome"
"180044117";"18004411700018";"École française d'Extrême-Orient"
"180044125";"18004412500011";"Casa de Velázquez de Madrid"
"180044174";"18004417400019";"Muséum national d'histoire naturelle"
"180046195";"18004619500012";"Institut français d'archéologie orientale du Caire"
"180060030";"18006003000400";"École nationale de la météorologie"
"180067019";"18006701900372";"École nationale des sciences géographiques"
"180092025";"18009202500154";"Institut Mines-Télécom, au périmètre des écoles IMT Atlantique, Lille Douai, Albi, Alès, Mines Saint-Étienne et Institut Mines-Télécom Business school"
"180092025";"18009202500154,18009202500089";"Institut Mines-Télécom, au périmètre des écoles IMT Atlantique, Lille Douai, Albi, Alès, Mines Saint-Étienne et Institut Mines-Télécom Business school"
"180092215";"18009221500011";"École nationale supérieure d'architecture de Paris-Malaquais"
"180092405";"18009240500018";"École nationale supérieure d'arts de Paris-Cergy"
"181300021";"18130002100340";"Institut supérieur du bâtiment et des travaux publics"
"183100023";"18310002300161";"Toulouse Business School"
"186400057";"18640005700102";"École supérieure des technologies industrielles avancées"
"191010602";"19101060200032";"Université de technologie de Troyes"
"191333400";"19133340000015";"Centrale Méditerranée"
"191333467";"19133346700014";"Sciences Po Aix"
"191414085";"19141408500016";"Université de Caen Normandie"
"191417203";"19141720300012";"École nationale supérieure d'ingénieurs de Caen"
"191700327";"19170032700015";"La Rochelle Université"
"192026649";"19202664900017";"Université de Corse Pasquale Paoli"
"192026649";"19202664900264";"Université de Corse Pasquale Paoli"
"192026649";"19202664900264,19202664900017";"Université de Corse Pasquale Paoli"
"192112373";"19211237300019";"Université de Bourgogne"
"192500825";"19250082500026";"École nationale supérieure de mécanique et des microtechniques"
"192512150";"19251215000363";"Université de Franche-Comté"
"192901197";"19290119700025";"École nationale d'ingénieurs de Brest"
"192901254";"19290125400016";"École nationale supérieure de techniques avancées Bretagne"
"192903466";"19290346600014";"Université de Bretagne Occidentale"
"193100989";"19310098900014";"Centre de ressources, d'expertise et de performance sportives de Toulouse"
"193100989";"19310098900022";"Centre de ressources, d'expertise et de performance sportives de Toulouse"
"193101433";"19310143300012";"École nationale supérieure de formation de l’enseignement agricole"
"193101508";"19310150800011";"École nationale supérieure d'architecture de Toulouse"
"193101524";"19310152400018";"Institut national des sciences appliquées de Toulouse"
"193101532";"19310153200011";"École nationale vétérinaire de Toulouse"
"193112562";"19311256200015";"École nationale de l'aviation civile"
"193113818";"19311381800127";"Toulouse INP"
"193113826";"19311382600013";"Université Toulouse Capitole"
"193113834";"19311383400017";"Université Toulouse - Jean Jaurès"
"193113842";"19311384200010";"Université Toulouse III - Paul Sabatier"
"193113867";"19311386700017";"Sciences Po Toulouse"
"193113867";"19311386700025";"Sciences Po Toulouse"
"193113867";"19311386700025,19311386700017";"Sciences Po Toulouse"
"193301926";"19330192600039";"Sciences Po Bordeaux"
"193302031";"19330203100011";"École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine"
"193317666";"19331766600017";"Université Bordeaux Montaigne"
"193401122";"19340112200018";"École nationale supérieure de chimie de Montpellier"
"193410891";"19341089100017";"Université Paul-Valéry - Montpellier 3"
"193500774";"19350077400016";"École nationale supérieure de chimie de Rennes"
"193500972";"19350097200016";"Institut national des sciences appliquées de Rennes"
"193509361";"19350936100013";"Université de Rennes 1"
"193509379";"19350937900015";"Université Rennes 2"
"193523172";"19352317200016";"Sciences Po Rennes"
"193708005";"19370800500478";"Université de Tours"
"194200937";"19420093700010";"École nationale d'ingénieurs de Saint-Étienne"
"194210951";"19421095100423";"Université Jean Monnet"
"194401006";"19440100600011";"Centrale Nantes"
"194409843";"19440984300019";"Université de Nantes"
"194508552";"19450855200016";"Université d'Orléans"
"194909701";"19490970100303";"Université d'Angers"
"195112966";"19511296600435";"Université de Reims Champagne-Ardenne"
"195112966";"19511296600799";"Université de Reims Champagne-Ardenne"
"195112966.1951";"19511296600799,19511296600435,19510000300019";"Université de Reims Champagne-Ardenne"
"195617188";"19561718800600";"Université Bretagne Sud"
"195903380";"19590338000010";"École nationale supérieure des arts et industries textiles"
"195903497";"19590349700012";"Centrale Lille Institut"
"195944038";"19594403800205";"Université du Littoral Côte d’Opale"
"195958764";"19595876400027";"Institut d'études politiques de Lille"
"196012231";"19601223100169";"Université de Technologie de Compiègne"
"196244016";"19624401600016";"Université d'Artois"
"196312870";"19631287000021";"École nationale supérieure d'architecture de Clermont-Ferrand"
"196402515";"19640251500270";"Université de Pau et des Pays de l'Adour"
"196500482";"19650048200019";"Université de technologie Tarbes Occitanie Pyrénées"
"196604375";"19660437500010";"Université de Perpignan Via Domitia"
"196701866";"19670186600010";"École nationale supérieure d'architecture de Strasbourg"
"196701890";"19670189000010";"École nationale du génie de l'eau et de l'environnement de Strasbourg"
"196701890";"19670189000028,19670189000010";"École nationale du génie de l'eau et de l'environnement de Strasbourg"
"196727671";"19672767100014";"Institut national des sciences appliquées de Strasbourg"
"196811665";"19681166500013";"Université de Haute-Alsace"
"196901730";"19690173000024";"Sciences Po Lyon"
"196901870";"19690187000010";"Centrale Lyon"
"196901920";"19690192000013";"Institut national des sciences appliquées de Lyon"
