Première 2019,Effectifs
Maths Physique_Chimie SVT,109398
Histoire_Géo_Politique Maths SES,31175
Histoire_Géo_Politique Langues_Littérature SES,27725
Histoire_Géo_Politique Humanités_Littérature_Philo SES,17200
Histoire_Géo_Politique Humanités_Littérature_Philo Langues_Littérature,16992
Maths Physique_Chimie Sciences_Ingénieur,16558
Maths Numérique_Sciences_Informatiques Physique_Chimie,16045
Langues_Littérature Maths SES,13046
Maths SVT SES,12829
Maths Physique_Chimie SES,12246
Histoire_Géo_Politique SVT SES,8143
Langues_Littérature Maths Physique_Chimie,8078
Humanités_Littérature_Philo Langues_Littérature SES,7136
Histoire_Géo_Politique Maths Physique_Chimie,5862
Langues_Littérature Maths SVT,4756
Histoire_Géo_Politique Maths SVT,4329
Histoire_Géo_Politique Langues_Littérature Maths,3665
Langues_Littérature SVT SES,3274
Maths Numérique_Sciences_Informatiques Sciences_Ingénieur,2814
Arts_Pla Humanités_Littérature_Philo Langues_Littérature,2723
Maths Numérique_Sciences_Informatiques SES,2609
Histoire_Géo_Politique Langues_Littérature SVT,2467
Histoire_Géo_Politique Humanités_Littérature_Philo Maths,2297
Humanités_Littérature_Philo Langues_Littérature SVT,2159
Humanités_Littérature_Philo Maths SES,2062
Histoire_Géo_Politique Humanités_Littérature_Philo SVT,2019
Maths Numérique_Sciences_Informatiques SVT,1981
Physique_Chimie SVT SES,1976
Humanités_Littérature_Philo SVT SES,1936
Humanités_Littérature_Philo Langues_Littérature Maths,1793
Langues_Littérature Physique_Chimie SVT,1761
Langues_Littérature Maths Numérique_Sciences_Informatiques,1669
Humanités_Littérature_Philo Maths SVT,1626
Humanités_Littérature_Philo Maths Physique_Chimie,1364
Arts_Pla Histoire_Géo_Politique Humanités_Littérature_Philo,1282
Histoire_Géo_Politique Physique_Chimie SVT,1268
Arts_Pla Maths Physique_Chimie,973
Histoire_Géo_Politique Numérique_Sciences_Informatiques SES,959
Arts_Pla Histoire_Géo_Politique Langues_Littérature,957
Cinema Humanités_Littérature_Philo Langues_Littérature,924
Arts_Pla Langues_Littérature SES,827
Theatre Humanités_Littérature_Philo Langues_Littérature,791
Humanités_Littérature_Philo Physique_Chimie SVT,664
Arts_Pla Histoire_Géo_Politique SES,642
Maths SVT Sciences_Ingénieur,636
Langues_Littérature Numérique_Sciences_Informatiques SES,621
Arts_Pla Langues_Littérature Maths,604
Histoire_Des_Arts Humanités_Littérature_Philo Langues_Littérature,584
Histoire_Géo_Politique Maths Numérique_Sciences_Informatiques,544
Maths Sciences_Ingénieur SES,533
Arts_Pla Maths SES,529
Histoire_Géo_Politique Physique_Chimie SES,506
Cinema Histoire_Géo_Politique Humanités_Littérature_Philo,479
Arts_Pla Humanités_Littérature_Philo SES,472
Theatre Histoire_Géo_Politique Humanités_Littérature_Philo,441
Langues_Littérature Maths Sciences_Ingénieur,424
Cinema Histoire_Géo_Politique Langues_Littérature,420
Numérique_Sciences_Informatiques Physique_Chimie SVT,417
Histoire_Des_Arts Histoire_Géo_Politique Humanités_Littérature_Philo,408
Musique Humanités_Littérature_Philo Langues_Littérature,407
Histoire_Géo_Politique Langues_Littérature Numérique_Sciences_Informatiques,392
Cinema Langues_Littérature SES,387
Arts_Pla Maths SVT,377
Cinema Maths Physique_Chimie,345
Numérique_Sciences_Informatiques SVT SES,332
Arts_Pla Maths Numérique_Sciences_Informatiques,322
Cinema Histoire_Géo_Politique SES,309
Arts_Pla Langues_Littérature SVT,277
Humanités_Littérature_Philo Langues_Littérature Numérique_Sciences_Informatiques,259
Langues_Littérature Physique_Chimie SES,255
Theatre Histoire_Géo_Politique Langues_Littérature,253
Langues_Littérature Numérique_Sciences_Informatiques SVT,250
Arts_Pla Humanités_Littérature_Philo Maths,247
Histoire_Des_Arts Histoire_Géo_Politique Langues_Littérature,245
Musique Maths Physique_Chimie,243
Arts_Pla Humanités_Littérature_Philo SVT,239
Histoire_Géo_Politique Langues_Littérature Physique_Chimie,237
Humanités_Littérature_Philo Langues_Littérature Littérature_Lca_Latin,224
Histoire_Des_Arts Histoire_Géo_Politique SES,220
Theatre Histoire_Géo_Politique SES,219
Arts_Pla Histoire_Géo_Politique Maths,203
Arts_Pla Langues_Littérature Numérique_Sciences_Informatiques,203
Histoire_Géo_Politique Humanités_Littérature_Philo Littérature_Lca_Latin,202
Musique Histoire_Géo_Politique Humanités_Littérature_Philo,197
Arts_Pla Histoire_Géo_Politique SVT,195
Theatre Langues_Littérature SES,191
Musique Histoire_Géo_Politique Langues_Littérature,189
Cinema Langues_Littérature Maths,185
Histoire_Géo_Politique Numérique_Sciences_Informatiques SVT,184
Physique_Chimie SVT Sciences_Ingénieur,182
Histoire_Des_Arts Langues_Littérature SES,181
Histoire_Des_Arts Maths Physique_Chimie,170
Cinema Humanités_Littérature_Philo SES,169
Arts_Pla SVT SES,162
Histoire_Géo_Politique Maths Sciences_Ingénieur,160
Theatre Humanités_Littérature_Philo SES,160
Humanités_Littérature_Philo Langues_Littérature Physique_Chimie,155
Humanités_Littérature_Philo Maths Numérique_Sciences_Informatiques,146
Cinema Maths SES,139
Histoire_Géo_Politique Humanités_Littérature_Philo Numérique_Sciences_Informatiques,134
Arts_Pla Physique_Chimie SVT,121
Cinema Maths Numérique_Sciences_Informatiques,119
Musique Histoire_Géo_Politique SES,114
Danse Humanités_Littérature_Philo Langues_Littérature,107
Langues_Littérature Numérique_Sciences_Informatiques Physique_Chimie,107
Musique Langues_Littérature SES,105
Numérique_Sciences_Informatiques Physique_Chimie Sciences_Ingénieur,104
Histoire_Géo_Politique Humanités_Littérature_Philo Physique_Chimie,103
Humanités_Littérature_Philo Physique_Chimie SES,98
Histoire_Des_Arts Humanités_Littérature_Philo SES,97
Histoire_Géo_Politique Sciences_Ingénieur SES,96
Langues_Littérature Numérique_Sciences_Informatiques Sciences_Ingénieur,94
Humanités_Littérature_Philo Numérique_Sciences_Informatiques SES,93
Numérique_Sciences_Informatiques Physique_Chimie SES,93
Theatre Maths Physique_Chimie,93
Cinema Langues_Littérature Numérique_Sciences_Informatiques,90
Histoire_Des_Arts Maths SES,87
Histoire_Des_Arts Langues_Littérature Maths,84
Cinema Maths SVT,83
SVT Sciences_Ingénieur SES,83
Histoire_Géo_Politique Littérature_Lca_Latin SES,81
Arts_Pla Maths Sciences_Ingénieur,80
Musique Langues_Littérature Maths,80
Numérique_Sciences_Informatiques Sciences_Ingénieur SES,79
Danse Histoire_Géo_Politique Langues_Littérature,78
Cinema Humanités_Littérature_Philo Maths,77
Cinema Langues_Littérature SVT,75
Numérique_Sciences_Informatiques SVT Sciences_Ingénieur,72
Arts_Pla Numérique_Sciences_Informatiques SES,71
Histoire_Géo_Politique Langues_Littérature Littérature_Lca_Latin,70
Theatre Langues_Littérature Maths,70
Cinema SVT SES,69
Danse Histoire_Géo_Politique Humanités_Littérature_Philo,67
Cinema Histoire_Géo_Politique Maths,65
Musique Humanités_Littérature_Philo SES,64
Musique Humanités_Littérature_Philo Maths,62
Cinema Langues_Littérature Physique_Chimie,61
Arts_Pla Langues_Littérature Physique_Chimie,60
Theatre Humanités_Littérature_Philo Maths,60
Theatre Maths SES,58
Theatre Maths SVT,56
Langues_Littérature Sciences_Ingénieur SES,54
Histoire_Des_Arts Humanités_Littérature_Philo Maths,53
Musique Maths SES,52
Musique Maths SVT,52
Theatre Humanités_Littérature_Philo SVT,52
Histoire_Des_Arts Histoire_Géo_Politique Maths,50
Histoire_Des_Arts Maths SVT,50
Arts_Pla Histoire_Géo_Politique Numérique_Sciences_Informatiques,48
Histoire_Géo_Politique Numérique_Sciences_Informatiques Physique_Chimie,48
Cinema Humanités_Littérature_Philo SVT,46
Cinema Physique_Chimie SVT,46
Humanités_Littérature_Philo Numérique_Sciences_Informatiques SVT,46
Littérature_Lca_Latin Maths Physique_Chimie,45
Histoire_Des_Arts Langues_Littérature SVT,43
Langues_Littérature Physique_Chimie Sciences_Ingénieur,43
Musique Histoire_Géo_Politique Maths,43
Theatre Physique_Chimie SVT,43
Langues_Littérature SVT Sciences_Ingénieur,42
Theatre Langues_Littérature SVT,42
Arts_Pla Humanités_Littérature_Philo Numérique_Sciences_Informatiques,41
Musique Physique_Chimie SVT,41
Musique Langues_Littérature SVT,40
Theatre Histoire_Géo_Politique Maths,40
Histoire_Des_Arts Humanités_Littérature_Philo SVT,38
Physique_Chimie Sciences_Ingénieur SES,38
Theatre Histoire_Géo_Politique SVT,38
Cinema Histoire_Géo_Politique SVT,37
Theatre SVT SES,36
Histoire_Géo_Politique Humanités_Littérature_Philo Littérature_Lca_Grec,34
Humanités_Littérature_Philo Langues_Littérature Littérature_Lca_Grec,34
Histoire_Géo_Politique Littérature_Lca_Grec SES,33
Musique SVT SES,33
Cinema Humanités_Littérature_Philo Physique_Chimie,32
Cinema Numérique_Sciences_Informatiques SES,32
Danse Histoire_Géo_Politique SES,32
Histoire_Géo_Politique Littérature_Lca_Latin Maths,32
Humanités_Littérature_Philo Littérature_Lca_Latin Maths,31
Humanités_Littérature_Philo Maths Sciences_Ingénieur,31
Histoire_Des_Arts Histoire_Géo_Politique SVT,30
Histoire_Des_Arts Langues_Littérature Numérique_Sciences_Informatiques,30
Histoire_Géo_Politique Langues_Littérature Sciences_Ingénieur,30
Arts_Pla Humanités_Littérature_Philo Physique_Chimie,29
Histoire_Géo_Politique Numérique_Sciences_Informatiques Sciences_Ingénieur,29
Humanités_Littérature_Philo Littérature_Lca_Latin SES,29
Histoire_Géo_Politique SVT Sciences_Ingénieur,28
Arts_Pla Numérique_Sciences_Informatiques SVT,27
Arts_Pla Physique_Chimie SES,27
Danse Langues_Littérature SES,27
Humanités_Littérature_Philo Littérature_Lca_Latin Littérature_Lca_Grec,27
2LLCER Humanités_Littérature_Philo,26
Arts_Pla Humanités_Littérature_Philo Littérature_Lca_Latin,26
Histoire_Des_Arts Maths Numérique_Sciences_Informatiques,26
Musique Humanités_Littérature_Philo SVT,26
Musique Maths Numérique_Sciences_Informatiques,26
Danse Maths Physique_Chimie,25
Histoire_Des_Arts Humanités_Littérature_Philo Littérature_Lca_Latin,25
Musique Histoire_Géo_Politique SVT,25
2LLCER Histoire_Géo_Politique,24
Danse Maths SVT,24
Langues_Littérature Littérature_Lca_Latin SES,24
2LLCER SES,23
Danse Langues_Littérature SVT,23
Arts_Du_Cirque Histoire_Géo_Politique Humanités_Littérature_Philo,22
Histoire_Des_Arts SVT SES,22
Cinema Histoire_Géo_Politique Physique_Chimie,21
Humanités_Littérature_Philo Langues_Littérature Sciences_Ingénieur,21
Humanités_Littérature_Philo Littérature_Lca_Latin SVT,21
Cinema Humanités_Littérature_Philo Numérique_Sciences_Informatiques,20
Humanités_Littérature_Philo Littérature_Lca_Grec SES,20
Littérature_Lca_Grec Maths Physique_Chimie,20
Arts_Pla Histoire_Géo_Politique Physique_Chimie,19
Histoire_Géo_Politique Physique_Chimie Sciences_Ingénieur,19
Littérature_Lca_Latin Maths SES,19
Littérature_Lca_Latin Physique_Chimie SVT,19
Musique Langues_Littérature Physique_Chimie,19
Theatre Langues_Littérature Numérique_Sciences_Informatiques,19
Arts_Pla Numérique_Sciences_Informatiques Physique_Chimie,18
Cinema Numérique_Sciences_Informatiques Physique_Chimie,18
Histoire_Géo_Politique Littérature_Lca_Latin SVT,18
Arts_Pla Langues_Littérature Sciences_Ingénieur,17
Arts_Pla Numérique_Sciences_Informatiques Sciences_Ingénieur,17
Danse Humanités_Littérature_Philo SVT,17
Danse Langues_Littérature Maths,17
Theatre Maths Numérique_Sciences_Informatiques,17
Cinema Histoire_Géo_Politique Numérique_Sciences_Informatiques,16
Cinema Numérique_Sciences_Informatiques SVT,16
Cinema Physique_Chimie SES,16
Danse Maths SES,16
