Terminale 2020,Effectifs
MATHS PHYSIQUE_CHIMIE,73449
HISTOIRE_GEO_POLITIQUE SES,54788
PHYSIQUE_CHIMIE SVT,48339
MATHS SVT,27163
MATHS SES,24677
LANGUES_LITTERATURE SES,22003
HISTOIRE_GEO_POLITIQUE LANGUES_LITTERATURE,17745
HISTOIRE_GEO_POLITIQUE HUMANITES_LITTERATURE_PHILO,11523
SVT SES,11265
HUMANITES_LITTERATURE_PHILO LANGUES_LITTERATURE,9772
MATHS NUMERIQUE_SCIENCES_INFORMATIQUES,9328
HUMANITES_LITTERATURE_PHILO SES,6301
HISTOIRE_GEO_POLITIQUE MATHS,6156
MATHS SCIENCES_INGENIEUR,5957
HISTOIRE_GEO_POLITIQUE SVT,5151
LANGUES_LITTERATURE SVT,5022
LANGUES_LITTERATURE MATHS,4989
ARTS_PLA LANGUES_LITTERATURE,3349
HUMANITES_LITTERATURE_PHILO SVT,2283
ARTS_PLA HUMANITES_LITTERATURE_PHILO,1707
ARTS_PLA HISTOIRE_GEO_POLITIQUE,1366
CINEMA LANGUES_LITTERATURE,1202
ARTS_PLA SES,1164
ARTS_PLA MATHS,1045
HUMANITES_LITTERATURE_PHILO MATHS,1016
PHYSIQUE_CHIMIE SES,1012
LANGUES_LITTERATURE PHYSIQUE_CHIMIE,1007
LANGUES_LITTERATURE NUMERIQUE_SCIENCES_INFORMATIQUES,980
NUMERIQUE_SCIENCES_INFORMATIQUES SES,954
THEATRE LANGUES_LITTERATURE,733
NUMERIQUE_SCIENCES_INFORMATIQUES PHYSIQUE_CHIMIE,720
HISTOIRE_GEO_POLITIQUE PHYSIQUE_CHIMIE,636
PHYSIQUE_CHIMIE SCIENCES_INGENIEUR,628
NUMERIQUE_SCIENCES_INFORMATIQUES SVT,622
HISTOIRE_DES_ARTS LANGUES_LITTERATURE,615
CINEMA HUMANITES_LITTERATURE_PHILO,565
CINEMA HISTOIRE_GEO_POLITIQUE,562
THEATRE HUMANITES_LITTERATURE_PHILO,546
CINEMA SES,485
ARTS_PLA SVT,475
NUMERIQUE_SCIENCES_INFORMATIQUES SCIENCES_INGENIEUR,466
MUSIQUE LANGUES_LITTERATURE,455
HISTOIRE_DES_ARTS HISTOIRE_GEO_POLITIQUE,407
THEATRE HISTOIRE_GEO_POLITIQUE,382
HISTOIRE_DES_ARTS HUMANITES_LITTERATURE_PHILO,378
HISTOIRE_GEO_POLITIQUE NUMERIQUE_SCIENCES_INFORMATIQUES,312
MUSIQUE HUMANITES_LITTERATURE_PHILO,274
ARTS_PLA NUMERIQUE_SCIENCES_INFORMATIQUES,264
CINEMA MATHS,254
THEATRE SES,249
HISTOIRE_DES_ARTS SES,244
MUSIQUE HISTOIRE_GEO_POLITIQUE,239
ARTS_PLA PHYSIQUE_CHIMIE,233
SVT SCIENCES_INGENIEUR,197
HUMANITES_LITTERATURE_PHILO PHYSIQUE_CHIMIE,191
CINEMA PHYSIQUE_CHIMIE,165
HUMANITES_LITTERATURE_PHILO LITTERATURE_LCA_LATIN,161
MUSIQUE MATHS,135
MUSIQUE SES,129
