"Rentrée","Etablissement","Etudiants","Enseignants","Taux.d.encadrement","Evolution"
"2011","CY Cergy Paris Université",13717,695,5.06670554786032,0
"2011","Sorbonne Université (Sorbonne U)",NA,2650,Inf,Inf
"2011","Université d'Évry-Val-d'Essonne (UEVE)",9539,402,4.21427822622916,-0.168240943464958
"2011","Université de Paris",55970,2718,4.85617294979453,-0.041552167592351
"2011","Université de Versailles Saint-Quentin-en-Yvelines (UVSQ)",15192,611,4.02185360716166,-0.206219195259906
"2011","Université Gustave Eiffel",NA,393,Inf,Inf
"2011","Université Panthéon-Assas",15340,297,1.9361147327249,-0.617875024621763
"2011","Université Paris 1 - Panthéon Sorbonne (Paris 1)",36504,842,2.30659653736577,-0.544754176934586
"2011","Université Paris 8 - Vincennes - Saint-Denis",22518,733,3.25517363886668,-0.357536448858499
"2011","Université Paris Dauphine - PSL",9716,323,3.32441333882256,-0.343870823472963
"2011","Université Paris Nanterre",30814,939,3.04731615499448,-0.398560637437995
"2011","Université Paris-Est Créteil (UPEC)",26396,1154,4.3718745264434,-0.137136649219797
"2011","Université Paris-Saclay",NA,1587,Inf,Inf
"2011","Université Sorbonne Nouvelle - Paris 3",17516,459,2.62046129253254,-0.482807661155844
"2011","Université Sorbonne Paris Nord",21866,951,4.34921796396232,-0.141608304868042
"2012","CY Cergy Paris Université",14023,687,4.89909434500464,0
"2012","Sorbonne Université (Sorbonne U)",NA,2613,Inf,Inf
"2012","Université d'Évry-Val-d'Essonne (UEVE)",9270,401,4.32578209277238,-0.117024129738761
"2012","Université de Paris",54987,2685,4.88297233891647,-0.00329081355712257
"2012","Université de Versailles Saint-Quentin-en-Yvelines (UVSQ)",15959,628,3.93508365185789,-0.196773245269241
"2012","Université Gustave Eiffel",NA,394,Inf,Inf
"2012","Université Panthéon-Assas",15775,289,1.83201267828843,-0.626050745449219
"2012","Université Paris 1 - Panthéon Sorbonne (Paris 1)",36128,842,2.33060230292294,-0.524278950598422
"2012","Université Paris 8 - Vincennes - Saint-Denis",23003,723,3.14306829543973,-0.358438912562573
"2012","Université Paris Dauphine - PSL",9675,321,3.31782945736434,-0.322766776119066
"2012","Université Paris Nanterre",30694,941,3.06574574835473,-0.374221941351116
"2012","Université Paris-Est Créteil (UPEC)",26931,1157,4.2961642716572,-0.123069700415591
"2012","Université Paris-Saclay",NA,1596,Inf,Inf
"2012","Université Sorbonne Nouvelle - Paris 3",17188,455,2.64719571794275,-0.459656105491831
"2012","Université Sorbonne Paris Nord",20990,939,4.47355883754169,-0.0868600352424008
"2013","CY Cergy Paris Université",15589,670,4.29790236705369,0
"2013","Sorbonne Université (Sorbonne U)",NA,2639,Inf,Inf
"2013","Université d'Évry-Val-d'Essonne (UEVE)",8780,396,4.51025056947608,0.0494074048889945
"2013","Université de Paris",54847,2708,4.93737123270188,0.148786270844621
"2013","Université de Versailles Saint-Quentin-en-Yvelines (UVSQ)",16782,629,3.74806340126326,-0.12793193489115
"2013","Université Gustave Eiffel",NA,416,Inf,Inf
"2013","Université Panthéon-Assas",16497,300,1.81851245681033,-0.576883721056474
"2013","Université Paris 1 - Panthéon Sorbonne (Paris 1)",36934,836,2.26349704878973,-0.473348425468908
"2013","Université Paris 8 - Vincennes - Saint-Denis",22298,720,3.2289891470087,-0.24870579384002
"2013","Université Paris Dauphine - PSL",10235,322,3.14606741573034,-0.267999329196713
"2013","Université Paris Nanterre",31404,944,3.00598649853522,-0.300592186184097
"2013","Université Paris-Est Créteil (UPEC)",27918,1167,4.18009886094992,-0.0274095351739049
"2013","Université Paris-Saclay",NA,1609,Inf,Inf
"2013","Université Sorbonne Nouvelle - Paris 3",16882,456,2.7011017651937,-0.371530217647693
"2013","Université Sorbonne Paris Nord",20822,954,4.58169244068773,0.0660299023564339
"2014","CY Cergy Paris Université",16859,674,3.99786464203096,0
"2014","Sorbonne Université (Sorbonne U)",NA,2613,Inf,Inf
"2014","Université d'Évry-Val-d'Essonne (UEVE)",9044,387,4.27908005307386,0.0703414037800034
"2014","Université de Paris",56225,2675,4.75767007558915,0.19005281608839
"2014","Université de Versailles Saint-Quentin-en-Yvelines (UVSQ)",15686,618,3.93981894683157,-0.0145191747087027
