UAI;Etablissement;Type;Rentrée;Recupere;Lien;HC.Total;HC.Titulaires;HC.Vacataires
0134009M;Aix-Marseille;Universite;2016;Oui;;NA;NA;NA
0134009M;Aix-Marseille;Universite;2017;Oui;;NA;NA;NA
0490970N;Angers;Universite;2014;Oui;;125060;52989;72071
0490970N;Angers;Universite;2015;Oui;;126905;56909;69996
0490970N;Angers;Universite;2016;Oui;;135010;60907;74103
0490970N;Angers;Universite;2017;Oui;;139800;63406;76394
0490970N;Angers;Universite;2018;Oui;;137154;62523;74632
0490970N;Antilles;Universite;2018;Oui;;NA;NA;NA
0333298F;Bordeaux;Universite;2014;Oui;;201197.7512;110437.5458;90760.20533
0333298F;Bordeaux;Universite;2015;Oui;;239965.7785;125934.9792;114030.7993
0333298F;Bordeaux;Universite;2016;Oui;;240476.1905;128352.7697;112123.4208
0333298F;Bordeaux;Universite;2017;Oui;;220309.1041;113475.006;106834.098
0333298F;Bordeaux;Universite;2018;Oui;;220888.6742;109538.7588;111349.9155
0333298F;Bordeaux;Universite;2019;Oui;;227553.731;113112.7747;114440.9563
;Bordeaux 1;Universite;2010;Oui;;NA;NA;NA
;Bordeaux 2;Universite;2010;Oui;;NA;NA;NA
;Bordeaux 4;Universite;2009;Oui;;NA;NA;NA
;Bordeaux Segalen;Universite;2011;Oui;;NA;NA;NA
0211237F;Bourgogne;Universite;2013;Non;;171525;93824;77701
0211237F;Bourgogne;Universite;2014;Oui;;172639;92155;80484
0211237F;Bourgogne;Universite;2015;Oui;;172195;87318;84877
0211237F;Bourgogne;Universite;2016;Oui;;179454;92959;86495
0211237F;Bourgogne;Universite;2017;Oui;;175283;87088;88195
0211237F;Bourgogne;Universite;2018;Oui;;166633;79508;87125
0290346U;Brest;Universite;2006;Oui;;NA;NA;NA
0561718N;Bretagne Sud;Universite;2017;Oui;;NA;NA;NA
0561718N;Bretagne Sud;Universite;2018;Oui;;NA;NA;NA
0561718N;Bretagne Sud;Universite;2019;Oui;;NA;NA;NA
0141408E;Caen;Universite;2019;Oui;;197512.6781;86905.57836;110607.0997
0632035V;Clermont;Universite;2017;Oui;;NA;NA;NA
7200664J;Corse;Universite;2017;Oui;;NA;NA;NA
