ANNEE;SEXE;AGEQ;POPACTBIT;TACTBIT
1975;H;T;14059;73.8
1975;H;T15;864;39.8
1975;H;T1524;2700;62.9
1975;H;T1564;13713;83.6
1975;H;T20;1836;86.6
1975;H;T25;2030;95.9
1975;H;T2549;8246;97.1
1975;H;T30;1490;97.4
1975;H;T35;1534;98.0
1975;H;T40;1605;97.5
1975;H;T45;1587;96.9
1975;H;T50;1421;91.8
1975;H;T5064;2767;76.5
1975;H;T55;694;82.1
1975;H;T5564;1346;65.1
1975;H;T60;652;53.4
1975;H;T65;215;20.4
1975;H;T70;131;8.2
1975;F;T;8916;43.4
1975;F;T15;686;32.6
1975;F;T1524;2151;51.3
1975;F;T1564;8705;52.7
1975;F;T20;1465;70.3
1975;F;T25;1322;63.2
1975;F;T2549;4913;58.9
1975;F;T30;873;60.3
1975;F;T35;883;58.2
1975;F;T40;947;57.4
1975;F;T45;888;54.5
1975;F;T50;851;51.5
1975;F;T5064;1641;41.2
1975;F;T55;391;43.1
1975;F;T5564;789;33.9
1975;F;T60;399;28.1
1975;F;T65;129;9.9
1975;F;T70;82;3.0
1975;E;T;22974;58.0
1975;E;T15;1550;36.2
1975;E;T1524;4852;57.2
1975;E;T1564;22418;68.1
1975;E;T20;3301;78.5
1975;E;T25;3352;79.7
1975;E;T2549;13158;78.2
1975;E;T30;2362;79.4
1975;E;T35;2418;78.4
1975;E;T40;2552;77.4
1975;E;T45;2474;75.7
1975;E;T50;2272;71.0
1975;E;T5064;4407;58.0
1975;E;T55;1085;61.9
1975;E;T5564;2135;48.6
1975;E;T60;1050;39.8
1975;E;T65;343;14.6
1975;E;T70;213;4.9
1976;H;T;14102;73.3
1976;H;T15;837;38.5
1976;H;T1524;2642;62.0
1976;H;T1564;13767;83.4
1976;H;T20;1805;86.3
1976;H;T25;2148;96.3
1976;H;T2549;8359;97.1
1976;H;T30;1549;97.5
1976;H;T35;1465;97.8
1976;H;T40;1594;97.6
1976;H;T45;1602;96.6
1976;H;T50;1428;92.4
1976;H;T5064;2766;76.2
1976;H;T55;808;81.5
1976;H;T5564;1337;64.2
1976;H;T60;529;48.6
1976;H;T65;208;19.5
1976;H;T70;127;7.6
1976;F;T;9141;44.0
1976;F;T15;671;31.5
1976;F;T1524;2168;51.6
1976;F;T1564;8936;53.7
1976;F;T20;1498;72.0
1976;F;T25;1412;64.9
1976;F;T2549;5107;60.6
1976;F;T30;945;61.7
1976;F;T35;878;59.9
1976;F;T40;952;59.0
1976;F;T45;921;56.1
1976;F;T50;846;51.4
1976;F;T5064;1660;41.5
1976;F;T55;467;43.4
1976;F;T5564;814;34.6
1976;F;T60;347;27.1
1976;F;T65;125;9.5
1976;F;T70;80;2.8
1976;E;T;23243;58.1
1976;E;T15;1508;35.1
1976;E;T1524;4811;56.8
1976;E;T1564;22703;68.5
1976;E;T20;3303;79.2
1976;E;T25;3559;80.8
1976;E;T2549;13466;79.0
1976;E;T30;2494;79.9
1976;E;T35;2344;79.0
1976;E;T40;2546;78.4
1976;E;T45;2523;76.5
1976;E;T50;2274;71.3
1976;E;T5064;4426;58.0
1976;E;T55;1275;61.6
1976;E;T5564;2152;48.5
1976;E;T60;877;37.0
1976;E;T65;334;14.0
1976;E;T70;207;4.6
1977;H;T;14153;72.9
1977;H;T15;811;37.2
1977;H;T1524;2604;61.1
1977;H;T1564;13847;83.2
1977;H;T20;1793;86.2
1977;H;T25;2136;96.0
1977;H;T2549;8419;96.9
1977;H;T30;1693;97.4
1977;H;T35;1454;97.6
1977;H;T40;1536;97.2
1977;H;T45;1600;96.5
1977;H;T50;1427;92.5
1977;H;T5064;2824;76.6
1977;H;T55;964;82.7
1977;H;T5564;1397;65.2
1977;H;T60;432;44.3
1977;H;T65;193;18.4
1977;H;T70;113;6.6
1977;F;T;9386;44.7
1977;F;T15;664;31.2
1977;F;T1524;2168;51.3
1977;F;T1564;9195;54.8
1977;F;T20;1504;71.8
1977;F;T25;1460;67.1
1977;F;T2549;5322;62.4
1977;F;T30;1085;64.4
1977;F;T35;871;61.1
1977;F;T40;951;60.6
1977;F;T45;954;57.0
1977;F;T50;840;52.3
1977;F;T5064;1706;42.4
1977;F;T55;570;45.1
1977;F;T5564;866;35.8
1977;F;T60;296;25.6
1977;F;T65;115;8.8
1977;F;T70;75;2.6
1977;E;T;23539;58.3
1977;E;T15;1475;34.2
1977;E;T1524;4772;56.2
1977;E;T1564;23042;69.0
1977;E;T20;3297;79.0
1977;E;T25;3596;81.7
1977;E;T2549;13740;79.8
1977;E;T30;2779;81.1
1977;E;T35;2325;79.8
1977;E;T40;2487;78.9
1977;E;T45;2554;76.7
1977;E;T50;2267;72.0
1977;E;T5064;4530;58.7
1977;E;T55;1534;63.1
1977;E;T5564;2263;49.6
1977;E;T60;729;34.2
1977;E;T65;308;13.0
1977;E;T70;188;4.1
1978;H;T;14162;72.3
1978;H;T15;776;35.7
1978;H;T1524;2570;60.0
1978;H;T1564;13877;82.8
1978;H;T20;1793;85.0
1978;H;T25;2082;96.2
1978;H;T2549;8487;96.9
1978;H;T30;1843;97.3
1978;H;T35;1460;97.9
1978;H;T40;1517;97.4
1978;H;T45;1584;96.2
1978;H;T50;1430;91.8
1978;H;T5064;2820;75.7
1978;H;T55;1045;81.0
1978;H;T5564;1390;64.2
1978;H;T60;345;39.4
1978;H;T65;179;16.8
1978;H;T70;106;6.1
1978;F;T;9444;44.6
1978;F;T15;593;28.1
1978;F;T1524;2132;50.2
1978;F;T1564;9265;54.8
1978;F;T20;1540;72.2
1978;F;T25;1454;67.4
1978;F;T2549;5436;63.2
1978;F;T30;1189;65.3
1978;F;T35;896;62.7
1978;F;T40;946;60.7
1978;F;T45;951;57.9
1978;F;T50;834;51.3
1978;F;T5064;1696;41.7
1978;F;T55;632;44.3
1978;F;T5564;862;35.3
1978;F;T60;231;22.6
1978;F;T65;110;8.3
1978;F;T70;69;2.4
1978;E;T;23606;57.9
1978;E;T15;1369;31.9
1978;E;T1524;4702;55.1
1978;E;T1564;23142;68.7
1978;E;T20;3333;78.6
1978;E;T25;3537;81.8
1978;E;T2549;13923;80.2
1978;E;T30;3032;81.6
1978;E;T35;2357;80.7
1978;E;T40;2463;79.1
1978;E;T45;2535;77.0
1978;E;T50;2264;71.1
1978;E;T5064;4517;58.0
1978;E;T55;1677;61.8
1978;E;T5564;2252;48.9
1978;E;T60;575;30.4
1978;E;T65;288;12.1
1978;E;T70;176;3.7
1979;H;T;14281;72.3
1979;H;T15;805;36.4
1979;H;T1524;2585;60.2
1979;H;T1564;14032;83.1
1979;H;T20;1780;85.6
1979;H;T25;2072;95.8
1979;H;T2549;8587;96.9
1979;H;T30;1969;97.4
1979;H;T35;1450;98.0
1979;H;T40;1520;97.7
1979;H;T45;1575;96.0
1979;H;T50;1416;91.9
