TXEMPBIT;ANNEE5;SEXE;DDIPL;AGEREG
49.8;1982;H;1;T15
69.3;1983;H;1;T15
66.9;1984;H;1;T15
51.3;1985;H;1;T15
61.7;1986;H;1;T15
73.2;1987;H;1;T15
63.1;1988;H;1;T15
51.5;1989;H;1;T15
46.8;1990;H;1;T15
42.6;1991;H;1;T15
48.3;1992;H;1;T15
41.1;1993;H;1;T15
41.1;1994;H;1;T15
39.6;1995;H;1;T15
40.2;1996;H;1;T15
39.6;1997;H;1;T15
36.7;1998;H;1;T15
39.4;1999;H;1;T15
36.6;2000;H;1;T15
39.2;2001;H;1;T15
36.4;2002;H;1;T15
39.1;2003;H;1;T15
37.3;2004;H;1;T15
39.4;2005;H;1;T15
41.7;2006;H;1;T15
41.5;2007;H;1;T15
44.4;2008;H;1;T15
41.8;2009;H;1;T15
48.5;2010;H;1;T15
49.4;2011;H;1;T15
49.0;2012;H;1;T15
46.9;2013;H;1;T15
49.6;2014;H;1;T15
52.4;2015;H;1;T15
48.0;2016;H;1;T15
54.9;2017;H;1;T15
58.5;2018;H;1;T15
55.2;2019;H;1;T15
50.7;2020;H;1;T15
46.4;1982;H;3;T15
48.5;1983;H;3;T15
54.3;1984;H;3;T15
61.1;1985;H;3;T15
42.3;1986;H;3;T15
50.8;1987;H;3;T15
44.9;1988;H;3;T15
52.6;1989;H;3;T15
50.3;1990;H;3;T15
47.8;1991;H;3;T15
47.9;1992;H;3;T15
47.1;1993;H;3;T15
39.9;1994;H;3;T15
40.4;1995;H;3;T15
41.5;1996;H;3;T15
41.8;1997;H;3;T15
42.0;1998;H;3;T15
43.2;1999;H;3;T15
43.9;2000;H;3;T15
44.8;2001;H;3;T15
48.4;2002;H;3;T15
50.8;2003;H;3;T15
51.8;2004;H;3;T15
52.4;2005;H;3;T15
53.3;2006;H;3;T15
56.2;2007;H;3;T15
56.5;2008;H;3;T15
60.9;2009;H;3;T15
59.0;2010;H;3;T15
57.4;2011;H;3;T15
58.3;2012;H;3;T15
59.7;2013;H;3;T15
57.6;2014;H;3;T15
60.7;2015;H;3;T15
62.6;2016;H;3;T15
65.3;2017;H;3;T15
67.0;2018;H;3;T15
66.1;2019;H;3;T15
62.5;2020;H;3;T15
49.6;1982;H;4;T15
48.5;1983;H;4;T15
45.7;1984;H;4;T15
44.7;1985;H;4;T15
44.8;1986;H;4;T15
45.6;1987;H;4;T15
42.6;1988;H;4;T15
33.1;1989;H;4;T15
31.6;1990;H;4;T15
28.5;1991;H;4;T15
31.1;1992;H;4;T15
30.8;1993;H;4;T15
29.2;1994;H;4;T15
31.0;1995;H;4;T15
32.9;1996;H;4;T15
32.3;1997;H;4;T15
32.8;1998;H;4;T15
35.1;1999;H;4;T15
38.6;2000;H;4;T15
37.9;2001;H;4;T15
36.8;2002;H;4;T15
36.6;2003;H;4;T15
34.4;2004;H;4;T15
34.1;2005;H;4;T15
34.1;2006;H;4;T15
32.3;2007;H;4;T15
35.1;2008;H;4;T15
33.2;2009;H;4;T15
32.8;2010;H;4;T15
33.0;2011;H;4;T15
31.6;2012;H;4;T15
32.5;2013;H;4;T15
32.4;2014;H;4;T15
34.4;2015;H;4;T15
33.8;2016;H;4;T15
35.3;2017;H;4;T15
37.0;2018;H;4;T15
36.3;2019;H;4;T15
34.0;2020;H;4;T15
78.3;1982;H;5;T15
79.3;1983;H;5;T15
76.6;1984;H;5;T15
73.7;1985;H;5;T15
75.5;1986;H;5;T15
74.1;1987;H;5;T15
72.6;1988;H;5;T15
76.8;1989;H;5;T15
74.9;1990;H;5;T15
72.1;1991;H;5;T15
69.2;1992;H;5;T15
64.8;1993;H;5;T15
62.6;1994;H;5;T15
63.5;1995;H;5;T15
60.8;1996;H;5;T15
59.1;1997;H;5;T15
58.6;1998;H;5;T15
59.2;1999;H;5;T15
63.9;2000;H;5;T15
65.0;2001;H;5;T15
64.9;2002;H;5;T15
63.1;2003;H;5;T15
63.6;2004;H;5;T15
60.9;2005;H;5;T15
61.2;2006;H;5;T15
63.7;2007;H;5;T15
62.0;2008;H;5;T15
57.7;2009;H;5;T15
61.2;2010;H;5;T15
60.7;2011;H;5;T15
59.7;2012;H;5;T15
56.8;2013;H;5;T15
56.7;2014;H;5;T15
55.0;2015;H;5;T15
57.0;2016;H;5;T15
57.1;2017;H;5;T15
59.7;2018;H;5;T15
